ID;Rodzic;Poziom;Numer;Część;Typ;Treść;Pozycja;Dotacje i subwencje;Świadczenia na rzecz osób fizycznych;Wydatki bieżące jednostek budżetowych;Wydatki majątkowe;Wydatki na obsługę długu Skarbu Państwa;Środki własne Unii Europejskiej;Współfinansowanie projektów z udziałem środków Unii Europejskiej;OGÓŁEM
15-09;15;b;15/09;15;Część 15/09;Sąd Apelacyjny w Rzeszowie;1;0;17650;222668;14746;0;0;0;255064
15-09-753;15-09;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;8209;0;0;0;0;0;8209
15-09-753-12;15-09-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;8209;0;0;0;0;0;8209
15-09-755;15-09;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;9436;220541;14746;0;0;0;244723
15-09-755-02;15-09-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;9436;218747;14746;0;0;0;242929
15-09-755-95;15-09-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;1794;0;0;0;0;1794
15-09-801;15-09;c;801;15;Dział 801;Oświata i wychowanie;7;0;5;2127;0;0;0;0;2132
15-09-801-44;15-09-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;5;2127;0;0;0;0;2132
15-10;15;b;15/10;15;Część 15/10;Sąd Apelacyjny w Białymstoku;1;0;28772;327552;4209;0;0;0;360533
15-10-753;15-10;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;10884;0;0;0;0;0;10884
15-10-753-12;15-10-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;10884;0;0;0;0;0;10884
15-10-755;15-10;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;17881;324232;4209;0;0;0;346322
15-10-755-02;15-10-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;17881;320066;4209;0;0;0;342156
15-10-755-95;15-10-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;4166;0;0;0;0;4166
15-10-801;15-10;c;801;15;Dział 801;Oświata i wychowanie;7;0;7;3320;0;0;0;0;3327
15-10-801-44;15-10-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;7;3320;0;0;0;0;3327
15-11;15;b;15/11;15;Część 15/11;Sąd Apelacyjny w Lublinie;1;0;30579;411675;35764;0;0;0;478018
15-11-753;15-11;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;14337;0;0;0;0;0;14337
15-11-753-12;15-11-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;14337;0;0;0;0;0;14337
15-11-755;15-11;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;16233;408059;35764;0;0;0;460056
15-11-755-02;15-11-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;16233;404585;35764;0;0;0;456582
15-11-755-95;15-11-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;3474;0;0;0;0;3474
15-11-801;15-11;c;801;15;Dział 801;Oświata i wychowanie;7;0;9;3616;0;0;0;0;3625
15-11-801-44;15-11-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;9;3616;0;0;0;0;3625
15-12;15;b;15/12;15;Część 15/12;Sąd Apelacyjny w Szczecinie;1;0;25643;319738;4043;0;0;0;349424
15-12-753;15-12;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;12044;0;0;0;0;0;12044
15-12-753-12;15-12-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;12044;0;0;0;0;0;12044
15-12-755;15-12;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;13591;317362;4043;0;0;0;334996
15-12-755-02;15-12-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;13591;313114;4043;0;0;0;330748
15-12-755-95;15-12-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;4248;0;0;0;0;4248
15-12-801;15-12;c;801;15;Dział 801;Oświata i wychowanie;7;0;8;2376;0;0;0;0;2384
15-12-801-44;15-12-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;8;2376;0;0;0;0;2384
15-753;15;b;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;189977;0;0;0;0;0;189977
15-753-12;15-753;c;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;189977;0;0;0;0;0;189977
15-755;15;b;755;15;Dział 755;Wymiar sprawiedliwości;4;0;211367;5126554;356785;0;0;0;5694706
15-755-02;15-755;c;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;211367;5060286;356785;0;0;0;5628438
15-755-95;15-755;c;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;66268;0;0;0;0;66268
15-801;15;b;801;15;Dział 801;Oświata i wychowanie;7;0;93;45050;0;0;0;0;45143
15-801-44;15-801;c;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;93;45050;0;0;0;0;45143
16;;a;16;16;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;1;12106;2440;95159;500;0;0;8381;118586
16-710;16;b;710;16;Dział 710;Działalność usługowa;2;3124;0;0;0;0;0;0;3124
16-710-31;16-710;c;71031;16;Rozdział 71031;Centrum Badania Opinii Społecznej;3;3124;0;0;0;0;0;0;3124
16-750;16;b;750;16;Dział 750;Administracja publiczna;4;8982;2440;95136;500;0;0;8381;115439
16-750-01;16-750;c;75001;16;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;5;0;100;82649;100;0;0;5832;88681
16-750-61;16-750;c;75061;16;Rozdział 75061;Ośrodek Studiów Wschodnich;6;0;0;8031;400;0;0;0;8431
16-750-65;16-750;c;75065;16;Rozdział 75065;Krajowa Szkoła Administracji Publicznej;7;8832;0;0;0;0;0;101;8933
16-750-68;16-750;c;75068;16;Rozdział 75068;Rada do Spraw Uchodźców;8;0;0;630;0;0;0;0;630
16-750-74;16-750;c;75074;16;Rozdział 75074;Rada do Spraw Polaków na Wschodzie;9;0;0;150;0;0;0;0;150
16-750-76;16-750;c;75076;16;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;10;0;0;2459;0;0;0;570;3029
16-750-95;16-750;c;75095;16;Rozdział 75095;Pozostała działalność;11;150;2340;1217;0;0;0;1878;5585
16-752;16;b;752;16;Dział 752;Obrona narodowa;12;0;0;23;0;0;0;0;23
16-752-12;16-752;c;75212;16;Rozdział 75212;Pozostałe wydatki obronne;13;0;0;23;0;0;0;0;23
17;;a;17;17;Część 17;ADMINISTRACJA  PUBLICZNA;1;0;28;27505;312;0;0;21211;49056
17-710;17;b;710;17;Dział 710;Działalność usługowa;2;0;25;18943;180;0;0;11133;30281
17-710-13;17-710;c;71013;17;Rozdział 71013;Prace geodezyjne i kartograficzne (nieinwestycyjne);3;0;0;6744;0;0;0;0;6744
17-710-21;17-710;c;71021;17;Rozdział 71021;Główny Urząd Geodezji i Kartografii;4;0;25;12199;180;0;0;11133;23537
17-750;17;b;750;17;Dział 750;Administracja publiczna;5;0;3;8562;132;0;0;10078;18775
17-750-01;17-750;c;75001;17;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;6;0;3;8562;132;0;0;10078;18775
18;;a;18;18;Część 18;BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;1;1361884;173;56345;999;0;0;0;1419401
18-700;18;b;700;18;Dział 700;Gospodarka mieszkaniowa;2;1361884;0;7200;0;0;0;0;1369084
18-700-05;18-700;c;70005;18;Rozdział 70005;Gospodarka gruntami i nieruchomościami;3;0;0;721;0;0;0;0;721
18-700-15;18-700;c;70015;18;Rozdział 70015;Refundacja premii gwarancyjnych oraz premii za systematyczne oszczędzanie;4;520000;0;0;0;0;0;0;520000
18-700-17;18-700;c;70017;18;Rozdział 70017;Wykup odsetek od kredytów mieszkaniowych;5;124800;0;5200;0;0;0;0;130000
18-700-20;18-700;c;70020;18;Rozdział 70020;Fundusz Termomodernizacji i Remontów;6;200000;0;0;0;0;0;0;200000
18-700-22;18-700;c;70022;18;Rozdział 70022;Fundusz Dopłat;7;517084;0;0;0;0;0;0;517084
18-700-95;18-700;c;70095;18;Rozdział 70095;Pozostała działalność;8;0;0;1279;0;0;0;0;1279
18-710;18;b;710;18;Dział 710;Działalność usługowa;9;0;163;18378;150;0;0;0;18691
18-710-15;18-710;c;71015;18;Rozdział 71015;Nadzór budowlany;10;0;3;17336;150;0;0;0;17489
18-710-95;18-710;c;71095;18;Rozdział 71095;Pozostała działalność;11;0;160;1042;0;0;0;0;1202
18-750;18;b;750;18;Dział 750;Administracja publiczna;12;0;10;30763;849;0;0;0;31622
18-750-01;18-750;c;75001;18;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;13;0;10;30414;849;0;0;0;31273
18-750-76;18-750;c;75076;18;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;14;0;0;287;0;0;0;0;287
18-750-95;18-750;c;75095;18;Rozdział 75095;Pozostała działalność;15;0;0;62;0;0;0;0;62
18-752;18;b;752;18;Dział 752;Obrona narodowa;16;0;0;4;0;0;0;0;4
18-752-12;18-752;c;75212;18;Rozdział 75212;Pozostałe wydatki obronne;17;0;0;4;0;0;0;0;4
