ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0018-0001-0002-0002;0018-0001-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0018-0001-0003;0018-0001;c;Podzadanie 18.1.3;Wypłata odszkodowań i zadośćuczynień orzekanych przez sądy;;;0
0018-0001-0003-0001;0018-0001-0003;d;Dysponent;Ministerstwo Sprawiedliwości;15;;0
0018-0002;0018;b;Zadanie 18.2;Sprawowanie wymiaru sprawiedliwości przez sądownictwo administracyjne;;;0
0018-0002-0001;0018-0002;c;Podzadanie 18.2.1;Działalność orzecznicza;;;0
0018-0002-0001-0001;0018-0002-0001;d;Dysponent;Naczelny Sąd Administracyjny;05;;0
0018-0002-0002;0018-0002;c;Podzadanie 18.2.2;Nadzór administracyjny nad działalnością sądów;;;0
0018-0002-0002-0001;0018-0002-0002;d;Dysponent;Naczelny Sąd Administracyjny;05;;0
0018-0002-0003;0018-0002;c;Podzadanie 18.2.3;Tworzenie warunków ogólnoadministarcyjnych do podnoszenia jakości orzecznictwa;;;0
0018-0002-0003-0001;0018-0002-0003;d;Dysponent;Naczelny Sąd Administracyjny;05;;0
0018-0003;0018;b;Zadanie 18.3;Sprawowanie wymiaru sprawiedliwości przez Sąd Najwyższy oraz działalność KRS;;;0
0018-0003-0001;0018-0003;c;Podzadanie 18.3.1;Działalność orzecznicza Sądu Najwyższego;;;0
0018-0003-0001-0001;0018-0003-0001;d;Dysponent;Sąd Najwyższy;04;;0
0018-0003-0002;0018-0003;c;Podzadanie 18.3.2;Strzeżenie niezależności sądów i niezawisłości sędziów;;;0
0018-0003-0002-0001;0018-0003-0002;d;Dysponent;Krajowa Rada Sądownictwa;52;;0
0018-0003-0003;0018-0003;c;Podzadanie 18.3.3;Działania na rzecz usprawnienia procesu sprawowania wymiaru sprawiedliwości;;;0
0018-0003-0003-0001;0018-0003-0003;d;Dysponent;Sąd Najwyższy;04;;0
0018-0004;0018;b;Zadanie 18.4;Wykonywanie kary pozbawienia wolności i tymczasowego aresztowania;;;15948
0018-0004-0001;0018-0004;c;Podzadanie 18.4.1;Wykonywanie obowiązków statutowych jednostek organizacyjnych Służby Więziennej;;;15948
0018-0004-0001-0001;0018-0004-0001;d;Dysponent;Ministerstwo Sprawiedliwości;37;;15948
0018-0004-0002;0018-0004;c;Podzadanie 18.4.2;System Dozoru Elektronicznego;;;0
0018-0004-0002-0001;0018-0004-0002;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0018-0004-0003;0018-0004;c;Podzadanie 18.4.3;Resocjalizacja osób pozbawionych wolności poprzez pracę;;;0
0018-0004-0003-0001;0018-0004-0003;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0018-0004-0004;0018-0004;c;Podzadanie 18.4.4;Udzielanie pomocy osobom pozbawionym wolności, zwalnianym z zakładów karnych i aresztów śledczych, rodzinom tych osób, pokrzywdzonym przestępstwem i ich rodzinom;;;0
0018-0004-0004-0001;0018-0004-0004;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0018-0005;0018;b;Zadanie 18.5;Przeciwdziałanie demoralizacji i przestępczości wśród nieletnich i stworzenie warunków do powrotu nieletnich do normalnego życia;;;2776
0018-0005-0001;0018-0005;c;Podzadanie 18.5.1;Działalność zakładów poprawczych i schronisk dla nieletnich;;;2776
0018-0005-0001-0001;0018-0005-0001;d;Dysponent;Ministerstwo Sprawiedliwości;37;;2776
0019;;a;FUNKCJA 19;INFRASTRUKTURA TRANSPORTOWA;;;4168716
0019-0001;0019;b;Zadanie 19.1;Wspieranie transportu drogowego;;;1262842
0019-0001-0001;0019-0001;c;Podzadanie 19.1.1;Budowa i przebudowa sieci dróg krajowych;;;1041419
0019-0001-0001-0001;0019-0001-0001;d;Dysponent;Ministerstwo Infrastruktury;39;;1041419
0019-0001-0001-0002;0019-0001-0001;d;Dysponent;Wojewodowie;85;;0
0019-0001-0002;0019-0001;c;Podzadanie 19.1.2;Utrzymanie i zarządzanie siecią dróg krajowych;;;3204
0019-0001-0002-0001;0019-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;3204
0019-0001-0003;0019-0001;c;Podzadanie 19.1.3;Bezpieczeństwo użytkowników sieci drogowej;;;218219
0019-0001-0003-0001;0019-0001-0003;d;Dysponent;Ministerstwo Infrastruktury;39;;218219
0019-0001-0003-0002;0019-0001-0003;d;Dysponent;Wojewodowie;85;;0
0019-0001-0004;0019-0001;c;Podzadanie 19.1.4;Kształtowanie warunków dla rozwoju transportu drogowego;;;0
0019-0001-0004-0001;0019-0001-0004;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0001-0004-0002;0019-0001-0004;d;Dysponent;Wojewodowie;85;;0
0019-0002;0019;b;Zadanie 19.2;Transport kolejowy;;;661451
0019-0002-0001;0019-0002;c;Podzadanie 19.2.1;Inwestycje w infrastrukturę kolejową;;;268081
0019-0002-0001-0001;0019-0002-0001;d;Dysponent;Ministerstwo Infrastruktury;39;;268081
0019-0002-0001-0002;0019-0002-0001;d;Dysponent;Wojewodowie;85;;0
0019-0002-0002;0019-0002;c;Podzadanie 19.2.2;Utrzymanie infrastruktury kolejowej;;;0
0019-0002-0002-0001;0019-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0002-0003;0019-0002;c;Podzadanie 19.2.3;Finansowanie usług publicznych i inwestycji taborowych w pasażerskim transporcie kolejowym;;;393370
0019-0002-0003-0001;0019-0002-0003;d;Dysponent;Ministerstwo Infrastruktury;39;;393370
0019-0002-0003-0002;0019-0002-0003;d;Dysponent;Wojewodowie;85;;0
0019-0002-0004;0019-0002;c;Podzadanie 19.2.4;Kształtowanie warunków dla rozwoju transportu kolejowego;;;0
0019-0002-0004-0001;0019-0002-0004;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0002-0005;0019-0002;c;Podzadanie 19.2.5;Nadzór nad bezpieczeństwem transportu kolejowego;;;0
0019-0002-0005-0001;0019-0002-0005;d;Dysponent;Urząd Transportu Kolejowego;71;;0
0019-0002-0006;0019-0002;c;Podzadanie 19.2.6;Spójność i interoperacyjność systemu kolejowego;;;0
0019-0002-0006-0001;0019-0002-0006;d;Dysponent;Urząd Transportu Kolejowego;71;;0
0019-0002-0007;0019-0002;c;Podzadanie 19.2.7;Nadzór rynku wyrobów przeznaczonych dla kolejnictwa;;;0
0019-0002-0007-0001;0019-0002-0007;d;Dysponent;Urząd Transportu Kolejowego;71;;0
0019-0002-0008;0019-0002;c;Podzadanie 19.2.8;Wspieranie i regulacja rynku transportu kolejowego;;;0
0019-0002-0008-0001;0019-0002-0008;d;Dysponent;Urząd Transportu Kolejowego;71;;0
0019-0003;0019;b;Zadanie 19.3;Wspieranie transportu morskiego i żeglugi śródlądowej;;;168937
0019-0003-0001;0019-0003;c;Podzadanie 19.3.1;Bezpieczeństwo żeglugi morskiej, ochrona brzegów i środowiska morskiego;;;77065
0019-0003-0001-0001;0019-0003-0001;d;Dysponent;Ministerstwo Infrastruktury;21;;77065
0019-0003-0002;0019-0003;c;Podzadanie 19.3.2;Wspieranie infrastruktury morskiej i żeglugi śródlądowej;;;90357
0019-0003-0002-0001;0019-0003-0002;d;Dysponent;Ministerstwo Infrastruktury;21;;90357
0019-0003-0002-0002;0019-0003-0002;d;Dysponent;Ministerstwo Środowiska;41;;0
0019-0003-0002-0003;0019-0003-0002;d;Dysponent;Wojewodowie;85;;0
0019-0003-0003;0019-0003;c;Podzadanie 19.3.3;Ratowanie życia ludzkiego oraz zwalczanie zagrożeń na morzu;;;0
0019-0003-0003-0001;0019-0003-0003;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0019-0003-0004;0019-0003;c;Podzadanie 19.3.4;Administracja morska i żeglugi śródlądowej;;;0
0019-0003-0004-0001;0019-0003-0004;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0019-0003-0004-0002;0019-0003-0004;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0003-0005;0019-0003;c;Podzadanie 19.3.5;Kształtowanie warunków dla rozwoju transportu morskiego i żeglugi śródlądowej;;;1515
0019-0003-0005-0001;0019-0003-0005;d;Dysponent;Ministerstwo Infrastruktury;21;;1515
0019-0003-0005-0002;0019-0003-0005;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0004;0019;b;Zadanie 19.4;Wspieranie transportu lotniczego i infrastruktury lotniczej;;;447801
0019-0004-0001;0019-0004;c;Podzadanie 19.4.1;Wspieranie infrastruktury lotniskowej i nawigacyjnej;;;447801
0019-0004-0001-0001;0019-0004-0001;d;Dysponent;Ministerstwo Infrastruktury;39;;447801
0019-0004-0001-0002;0019-0004-0001;d;Dysponent;Wojewodowie;85;;0
0019-0004-0002;0019-0004;c;Podzadanie 19.4.2;Regulowanie i nadzorowanie systemu lotnictwa cywilnego w Polsce;;;0
0019-0004-0002-0001;0019-0004-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0004-0003;0019-0004;c;Podzadanie 19.4.3;Kształtowanie warunków dla rozwoju transportu lotniczego;;;0
0019-0004-0003-0001;0019-0004-0003;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0019-0005;0019;b;Zadanie 19.5;Wspieranie zrównoważonego rozwoju transportu;;;1627685
0019-0005-0001;0019-0005;c;Podzadanie 19.5.1;Wspieranie infrastruktury portowej;;;569707
0019-0005-0001-0001;0019-0005-0001;d;Dysponent;Ministerstwo Infrastruktury;39;;569707
0019-0005-0002;0019-0005;c;Podzadanie 19.5.2;Wspieranie transportu intermodalnego;;;158159
0019-0005-0002-0001;0019-0005-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;158159
0019-0005-0003;0019-0005;c;Podzadanie 19.5.3;Wspieranie rozwoju transportu miejskiego;;;899819
0019-0005-0003-0001;0019-0005-0003;d;Dysponent;Ministerstwo Infrastruktury;39;;899819
0020;;a;FUNKCJA 20;ZDROWIE;;;227703
0020-0001;0020;b;Zadanie 20.1;Dostęp do świadczeń opieki zdrowotnej;;;1242
0020-0001-0001;0020-0001;c;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;;;1242
0020-0001-0001-0001;0020-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0020-0001-0001-0002;0020-0001-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0020-0001-0001-0003;0020-0001-0001;d;Dysponent;Ministerstwo Zdrowia;46;;1242
0020-0001-0001-0004;0020-0001-0001;d;Dysponent;Kasa Rolniczego Ubezpieczenia Społecznego;72;;0
0020-0001-0001-0005;0020-0001-0001;d;Dysponent;Zakład Ubezpieczeń Społecznych;73;;0
0020-0001-0001-0006;0020-0001-0001;d;Dysponent;Wojewodowie;85;;0
0020-0001-0002;0020-0001;c;Podzadanie 20.1.2;Realizacja świadczeń wysokospecjalistycznych i programów zdrowotnych ważnych dla zdrowia społeczeństwa;;;0
0020-0001-0002-0001;0020-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0001-0002-0002;0020-0001-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0001-0003;0020-0001;c;Podzadanie 20.1.3;Świadczenia zdrowotne w zakresie lecznictwa;;;0
0020-0001-0003-0001;0020-0001-0003;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0020-0001-0003-0002;0020-0001-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0001-0003-0003;0020-0001-0003;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0001-0003-0004;0020-0001-0003;d;Dysponent;Wojewodowie;85;;0
0020-0001-0004;0020-0001;c;Podzadanie 20.1.4;Medycyna transplantacyjna;;;0
0020-0001-0004-0001;0020-0001-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0001-0005;0020-0001;c;Podzadanie 20.1.5;Funkcjonowanie publicznej służby krwi;;;0
0020-0001-0005-0001;0020-0001-0005;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0020-0001-0005-0002;0020-0001-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0001-0005-0003;0020-0001-0005;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0002;0020;b;Zadanie 20.2;Ratownictwo medyczne;;;124489
0020-0002-0001;0020-0002;c;Podzadanie 20.2.1;Działalność lotniczych zespołów ratownictwa medycznego;;;17196
0020-0002-0001-0001;0020-0002-0001;d;Dysponent;Ministerstwo Zdrowia;46;;17196
0020-0002-0002;0020-0002;c;Podzadanie 20.2.2;Działalność szpitalnych oddziałów ratunkowych, centrów urazowych oraz zespołów ratownictwa medycznego, z wyłączeniem lotniczych zespołów ratownictwa medycznego;;;107293
0020-0002-0002-0001;0020-0002-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0002-0002-0002;0020-0002-0002;d;Dysponent;Ministerstwo Zdrowia;46;;107293
0020-0002-0002-0003;0020-0002-0002;d;Dysponent;Wojewodowie;85;;0
0020-0003;0020;b;Zadanie 20.3;Polityka lekowa;;;0
0020-0003-0001;0020-0003;c;Podzadanie 20.3.1;Rejestracja produktów leczniczych, wyrobów medycznych i produktów biobójczych;;;0
0020-0003-0001-0001;0020-0003-0001;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0003-0002;0020-0003;c;Podzadanie 20.3.2;Nadzór nad jakością i obrotem produktami leczniczymi, wyrobami medycznymi i produktami biobójczymi;;;0
0020-0003-0002-0001;0020-0003-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0003-0002-0002;0020-0003-0002;d;Dysponent;Wojewodowie;85;;0
0020-0003-0003;0020-0003;c;Podzadanie 20.3.3;Działaność kontrolno-inspekcyjna;;;0
0020-0003-0003-0001;0020-0003-0003;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0003-0004;0020-0003;c;Podzadanie 20.3.4;Dostęp do leków i wyrobów medycznych;;;0
0020-0003-0004-0001;0020-0003-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0004;0020;b;Zadanie 20.4;Wspieranie rozwoju i restrukturyzacji systemu ochrony zdrowia;;;86040
0020-0004-0001;0020-0004;c;Podzadanie 20.4.1;Inwestycje w infrastrukturę w ochronie zdrowia;;;84216
0020-0004-0001-0001;0020-0004-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0020-0004-0001-0002;0020-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0004-0001-0003;0020-0004-0001;d;Dysponent;Ministerstwo Zdrowia;46;;84216
0020-0004-0001-0004;0020-0004-0001;d;Dysponent;Wojewodowie;85;;0
0020-0004-0002;0020-0004;c;Podzadanie 20.4.2;Wspieranie restrukturyzacji systemu ochrony zdrowia;;;1824
0020-0004-0002-0001;0020-0004-0002;d;Dysponent;Ministerstwo Zdrowia;46;;1824
0020-0004-0002-0002;0020-0004-0002;d;Dysponent;Wojewodowie;85;;0
0020-0005;0020;b;Zadanie 20.5;Nadzór sanitarno-epidemiologiczny, profilaktyka i promocja zdrowia;;;15932
0020-0005-0001;0020-0005;c;Podzadanie 20.5.1;Profilaktyka zdrowotna;;;15877
0020-0005-0001-0001;0020-0005-0001;d;Dysponent;Ministerstwo Zdrowia;46;;15877
0020-0005-0001-0002;0020-0005-0001;d;Dysponent;Wojewodowie;85;;0
0020-0005-0002;0020-0005;c;Podzadanie 20.5.2;Nzadór sanitarny i działalność kontrolno- inspekcyjna;;;55
0020-0005-0002-0001;0020-0005-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0020-0005-0002-0002;0020-0005-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0005-0002-0003;0020-0005-0002;d;Dysponent;Wojewodowie;85;;55
0020-0005-0003;0020-0005;c;Podzadanie 20.5.3;Zapobieganie i zwalczanie chorób zakaźnych;;;0
0020-0005-0003-0001;0020-0005-0003;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0005-0003-0002;0020-0005-0003;d;Dysponent;Wojewodowie;85;;0
0020-0005-0004;0020-0005;c;Podzadanie 20.5.4;Ochrona zdrowia przed szkodliwym wpływem czynników środowiskowych;;;0
0020-0005-0004-0001;0020-0005-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0005-0004-0002;0020-0005-0004;d;Dysponent;Wojewodowie;85;;0
0020-0005-0005;0020-0005;c;Podzadanie 20.5.5;Tworzenie i utrzymywanie rezerw państwowych;;;0
0020-0005-0005-0001;0020-0005-0005;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0005-0006;0020-0005;c;Podzadanie 20.5.6;Realizacja zadań edukacyjno- informacyjnych z zakresu programów zdrowotnych państwa dotyczących uzależnień;;;0
0020-0005-0006-0001;0020-0005-0006;d;Dysponent;Ministerstwo Zdrowia;46;;0
0020-0005-0006-0002;0020-0005-0006;d;Dysponent;Wojewodowie;85;;0
0021;;a;FUNKCJA 21;POLITYKA ROLNA I RYBACKA;;;10644763
0021-0001;0021;b;Zadanie 21.1;Rozwój produkcji roślinnej i ochrona roślin uprawnych;;;0
0021-0001-0001;0021-0001;c;Podzadanie 21.1.1;Postęp biologiczny w produkcji roślinnej;;;0
0021-0001-0001-0001;0021-0001-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0001-0002;0021-0001;c;Podzadanie 21.1.2;Rejestracja i ochrona prawna odmian roślin uprawnych;;;0
0021-0001-0002-0001;0021-0001-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0001-0003;0021-0001;c;Podzadanie 21.1.3;Kontrola wytwarzania, oceny i obrotu materiałem siewnym;;;0
0021-0001-0003-0001;0021-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0001-0003-0002;0021-0001-0003;d;Dysponent;Wojewodowie;85;;0
0021-0001-0004;0021-0001;c;Podzadanie 21.1.4;Ochrona roślin;;;0
0021-0001-0004-0001;0021-0001-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0001-0004-0002;0021-0001-0004;d;Dysponent;Wojewodowie;85;;0
0021-0002;0021;b;Zadanie 21.2;Rozwój produkcji zwierzęcej i hodowli zwierząt;;;0
0021-0002-0001;0021-0002;c;Podzadanie 21.2.1;Postęp biologiczny w produkcji zwierzęcej;;;0
0021-0002-0001-0001;0021-0002-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0002-0002;0021-0002;c;Podzadanie 21.2.2;Kontrola w zakresie hodowli i produkcji zwierzęcej;;;0
0021-0002-0002-0001;0021-0002-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0003;0021;b;Zadanie 21.3;Ochrona zdrowia i dobrostanu zwierząt oraz zdrowia publicznego;;;0
0021-0003-0001;0021-0003;c;Podzadanie 21.3.1;Ochrona zdrowia, zwalczanie chorób zakaźnych i dobrostan zwierząt;;;0
0021-0003-0001-0001;0021-0003-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0003-0001-0002;0021-0003-0001;d;Dysponent;Wojewodowie;85;;0
0021-0003-0002;0021-0003;c;Podzadanie 21.3.2;Bezpieczeństwo żywności pochodzenia zwierzęcego i pasz w miejscach ich pozyskiwania, wytwarzania, przetwarzania i składowania oraz transportu;;;0
0021-0003-0002-0001;0021-0003-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0003-0002-0002;0021-0003-0002;d;Dysponent;Wojewodowie;85;;0
0021-0003-0003;0021-0003;c;Podzadanie 21.3.3;Działania laboratoriów referencyjnych w zakresie kontroli urzędowych;;;0
0021-0003-0003-0001;0021-0003-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0004;0021;b;Zadanie 21.4;Kształtowanie ustroju rolnego państwa oraz rolnictwo ekologiczne i żywność regionalna, tradycyjna i systemy jakości żywności;;;0
0021-0004-0001;0021-0004;c;Podzadanie 21.4.1;Kształtowanie ustroju rolnego państwa i gospodarki żywnościowej;;;0
0021-0004-0001-0001;0021-0004-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0004-0001-0002;0021-0004-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0021-0004-0001-0003;0021-0004-0001;d;Dysponent;Wojewodowie;85;;0
0021-0004-0002;0021-0004;c;Podzadanie 21.4.2;Rolnictwo ekologiczne;;;0
0021-0004-0002-0001;0021-0004-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0004-0002-0002;0021-0004-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0021-0004-0002-0003;0021-0004-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0021-0004-0003;0021-0004;c;Podzadanie 21.4.3;śywność regionalna, tradycyjna i systemy jakości żywności;;;0
0021-0004-0003-0001;0021-0004-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0004-0003-0002;0021-0004-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0021-0004-0003-0003;0021-0004-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0021-0004-0004;0021-0004;c;Podzadanie 21.4.4;Agrochemiczna obsługa rolnictwa w Polsce;;;0
0021-0004-0004-0001;0021-0004-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0005;0021;b;Zadanie 21.5;Wspieranie infrastruktury wsi;;;327950
0021-0005-0001;0021-0005;c;Podzadanie 21.5.1;Nadzór nad usuwaniem skutków klęsk żywiołowych w rolnictwie;;;0
0021-0005-0001-0001;0021-0005-0001;d;Dysponent;Wojewodowie;85;;0
0021-0005-0002;0021-0005;c;Podzadanie 21.5.2;Prace geodezyjno-urządzeniowe na potrzeby rolnictwa, w tym scalanie i wymiana gruntów oraz zagospodarowanie poscaleniowe;;;24589
0021-0005-0002-0001;0021-0005-0002;d;Dysponent;Wojewodowie;85;;24589
0021-0005-0003;0021-0005;c;Podzadanie 21.5.3;Budowa i utrzymanie urządzeń melioracji wodnych podstawowych i szczegółowych;;;303361
0021-0005-0003-0001;0021-0005-0003;d;Dysponent;Wojewodowie;85;;303361
0021-0006;0021;b;Zadanie 21.6;Wspieranie rybactwa śródlądowego i rybołówstwa morskiego;;;249747
0021-0006-0001;0021-0006;c;Podzadanie 21.6.1;Wspieranie rybactwa śródlądowego;;;0
0021-0006-0001-0001;0021-0006-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;62;;0
0021-0006-0001-0002;0021-0006-0001;d;Dysponent;Wojewodowie;85;;0
0021-0006-0002;0021-0006;c;Podzadanie 21.6.2;Wspieranie rybołówstwa morskiego;;;0
0021-0006-0002-0001;0021-0006-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;62;;0
0021-0006-0003;0021-0006;c;Podzadanie 21.6.3;PO Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007-2013;;;249747
0021-0006-0003-0001;0021-0006-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;62;;249747
0021-0006-0003-0002;0021-0006-0003;d;Dysponent;Wojewodowie;85;;0
0021-0007;0021;b;Zadanie 21.7;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;;;10067066
0021-0007-0001;0021-0007;c;Podzadanie 21.7.1;Doradztwo rolnicze;;;0
0021-0007-0001-0001;0021-0007-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0021-0007-0001-0002;0021-0007-0001;d;Dysponent;Wojewodowie;85;;0
0021-0007-0002;0021-0007;c;Podzadanie 21.7.2;Pomoc krajowa i wspólnotowa inna niż WPR;;;0
0021-0007-0002-0001;0021-0007-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0007-0002-0002;0021-0007-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0021-0007-0002-0003;0021-0007-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0021-0007-0002-0004;0021-0007-0002;d;Dysponent;Wojewodowie;85;;0
0021-0007-0003;0021-0007;c;Podzadanie 21.7.3;Wspieranie realizacji WPR Unii Europejskiej;;;971322
0021-0007-0003-0001;0021-0007-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;674764
0021-0007-0003-0002;0021-0007-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;296558
0021-0007-0004;0021-0007;c;Podzadanie 21.7.4;Program Rozwoju Obszarów Wiejskich 2007- 2013;;;4473520
0021-0007-0004-0001;0021-0007-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0021-0007-0004-0002;0021-0007-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;4429194
0021-0007-0004-0003;0021-0007-0004;d;Dysponent;Wojewodowie;85;;44326
0021-0007-0005;0021-0007;c;Podzadanie 21.7.5;Realizacja płatności bezpośrednich;;;4622224
0021-0007-0005-0001;0021-0007-0005;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;4622224
0021-0007-0006;0021-0007;c;Podzadanie 21.7.6;Zbieranie i wykorzystywanie danych rachunkowych z gospodarstw rolnych na potrzeby FADN (Farm Accountancy Data Network);;;0
0021-0007-0006-0001;0021-0007-0006;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0022;;a;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;;;48989
0022-0001;0022;b;Zadanie 22.1;Promocja, reprezentacja urzędu i doradztwo o charakterze programowym i ogólnopolitycznym;;;48187
0022-0001-0001;0022-0001;c;Dysponent;Kancelaria Senatu;03;;0
0022-0001-0002;0022-0001;c;Dysponent;Najwyższa Izba Kontroli;07;;0
0022-0001-0003;0022-0001;c;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;0
0022-0001-0004;0022-0001;c;Dysponent;Krajowe Biuro Wyborcze;11;;0
0022-0001-0005;0022-0001;c;Dysponent;Państwowa Inspekcja Pracy;12;;0
0022-0001-0006;0022-0001;c;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;17;;0
0022-0001-0007;0022-0001;c;Dysponent;Ministerstwo Infrastruktury;18;;0
0022-0001-0008;0022-0001;c;Dysponent;Ministerstwo Gospodarki;20;;0
0022-0001-0009;0022-0001;c;Dysponent;Ministerstwo Infrastruktury;21;;0
0022-0001-0010;0022-0001;c;Dysponent;Ministerstwo Środowiska;22;;0
0022-0001-0011;0022-0001;c;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0022-0001-0012;0022-0001;c;Dysponent;Ministerstwo Sportu i Turystyki;25;;0
0022-0001-0013;0022-0001;c;Dysponent;Ministerstwo Infrastruktury;26;;0
0022-0001-0014;0022-0001;c;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;27;;0
0022-0001-0015;0022-0001;c;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;0
0022-0001-0016;0022-0001;c;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0022-0001-0017;0022-0001;c;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
