ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0015-0003-0003;0015-0003;c;Podzadanie 15.3.3;Zapewnianie obsługi prawnej działań wynikających z członkostwa Polski w UE;;;0
0015-0003-0003-0001;0015-0003-0003;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0004;0015;b;Zadanie 15.4;Kształtowanie międzynarodowego wizerunku RP;;;0
0015-0004-0001;0015-0004;c;Podzadanie 15.4.1;Prowadzenie promocji kraju;;;0
0015-0004-0001-0001;0015-0004-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0015-0004-0001-0002;0015-0004-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0004-0002;0015-0004;c;Podzadanie 15.4.2;Udział we współpracy rozwojowej i międzynarodowej pomocy humanitarnej;;;0
0015-0004-0002-0001;0015-0004-0002;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0004-0003;0015-0004;c;Podzadanie 15.4.3;Wpieranie rozwoju demokracji, praw człowieka i rządów prawa;;;0
0015-0004-0003-0001;0015-0004-0003;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0004-0004;0015-0004;c;Podzadanie 15.4.4;Zapewnianie obsługi cudzoziemców i zagranicznych osób prawnych;;;0
0015-0004-0004-0001;0015-0004-0004;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0004-0004-0002;0015-0004-0004;d;Dysponent;Wojewodowie;85;;0
0015-0005;0015;b;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;;;0
0015-0005-0001;0015-0005;c;Podzadanie 15.5.1;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw zagranicznych;;;0
0015-0005-0001-0001;0015-0005-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0015-0005-0001-0002;0015-0005-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0015-0005-0001-0003;0015-0005-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0015-0005-0001-0004;0015-0005-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0005-0001-0005;0015-0005-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0015-0005-0002;0015-0005;c;Podzadanie 15.5.2;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw członkostwa Polski w UE;;;0
0015-0005-0002-0001;0015-0005-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0015-0005-0002-0002;0015-0005-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0015-0005-0002-0003;0015-0005-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0015-0005-0002-0004;0015-0005-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0015-0005-0002-0005;0015-0005-0002;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0005-0002-0006;0015-0005-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0015-0005-0003;0015-0005;c;Podzadanie 15.5.3;Prowadzenie działalności edukacyjnej i informacyjnej;;;0
0015-0005-0003-0001;0015-0005-0003;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0005-0003-0002;0015-0005-0003;d;Dysponent;Wojewodowie;85;;0
0015-0005-0004;0015-0005;c;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;;;0
0015-0005-0004-0001;0015-0005-0004;d;Dysponent;Kancelaria Sejmu;02;;0
0015-0005-0004-0002;0015-0005-0004;d;Dysponent;Kancelaria Senatu;03;;0
0015-0005-0004-0003;0015-0005-0004;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
