ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
28-02-1;28-02;Projekt;Projekty planów ochrony obszarów Natura 2000 w rejonie Zatoki Gdańskiej i Zalewu WIślanego;POIS.05.03.00-00-281/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;788,500.00;788,500.00;670,225.00;670,225.00;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);organ władzy, administracji rządowej;00 Nie dotyczy;POIS.05.03.00-00-281/10-01;Nie;2011/01/18;2011/01/28
28-04;28;Powiat;Powiat elbląski;;;;;;788500.0;788500.0;670225.0;670225.0;;;;;;;;;;;;;
28-04-1;28-04;Projekt;Projekty planów ochrony obszarów Natura 2000 w rejonie Zatoki Gdańskiej i Zalewu WIślanego;POIS.05.03.00-00-281/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;788,500.00;788,500.00;670,225.00;670,225.00;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);organ władzy, administracji rządowej;00 Nie dotyczy;POIS.05.03.00-00-281/10-01;Nie;2011/01/18;2011/01/28
06-14-2;06-14;Projekt;Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego;POIS.05.03.00-00-285/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;680,896.09;680,896.09;578,761.67;578,761.67;Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;POIS.05.03.00-00-285/10-01;Nie;2011/01/26;2011/01/28
22-13;22;Powiat;Powiat starogardzki;;;;;;5154804.61;4501708.82;3826452.49;3826452.49;;;;;;;;;;;;;
22-13-1;22-13;Projekt;Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego;POIS.05.03.00-00-285/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;680,896.09;680,896.09;578,761.67;578,761.67;Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;POIS.05.03.00-00-285/10-01;Nie;2011/01/26;2011/01/28
28-12;28;Powiat;Powiat nowomiejski;;;;;;680896.09;680896.09;578761.67;578761.67;;;;;;;;;;;;;
28-12-1;28-12;Projekt;Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego;POIS.05.03.00-00-285/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;680,896.09;680,896.09;578,761.67;578,761.67;Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;POIS.05.03.00-00-285/10-01;Nie;2011/01/26;2011/01/28
14-15;14;Powiat;Powiat ostrołęcki;;;;;;187101.94;187101.94;159036.65;159036.65;;;;;;;;;;;;;
14-15-1;14-15;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;171,624.00;171,624.00;145,880.40;145,880.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
