ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
14-29;14;Powiat;Powiat sokołowski;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-29-1;14-29;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-33;14;Powiat;Powiat węgrowski;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-33-1;14-33;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-35;14;Powiat;Powiat wyszkowski;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-35-1;14-35;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
28-16-2;28-16;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;123,823.50;123,823.50;105,250.00;105,250.00;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-02;14;Powiat;Powiat ciechanowski;;;;;;790501138.67;606418045.33;606418045.33;424492631.73;;;;;;;;;;;;;
14-02-1;14-02;Projekt;Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia - obszar LCS Ciechanów;POIS.07.01.00-00-009/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;790,501,138.67;606,418,045.33;606,418,045.33;424,492,631.73;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIS.07.01.00-00-009/09-05;Nie;2011/03/15;2011/03/16
14-13;14;Powiat;Powiat mławski;;;;;;790501138.67;606418045.33;606418045.33;424492631.73;;;;;;;;;;;;;
14-13-1;14-13;Projekt;Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia - obszar LCS Ciechanów;POIS.07.01.00-00-009/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;790,501,138.67;606,418,045.33;606,418,045.33;424,492,631.73;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIS.07.01.00-00-009/09-05;Nie;2011/03/15;2011/03/16
14-24;14;Powiat;Powiat pułtuski;;;;;;790501138.67;606418045.33;606418045.33;424492631.73;;;;;;;;;;;;;
14-24-1;14-24;Projekt;Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia - obszar LCS Ciechanów;POIS.07.01.00-00-009/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;790,501,138.67;606,418,045.33;606,418,045.33;424,492,631.73;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIS.07.01.00-00-009/09-05;Nie;2011/03/15;2011/03/16
10;;Województwo;Łódzkie;;;;;;1118415764.92;787462788.2;784404804.3;551073135.63;;;;;;;;;;;;;
10-15;10;Powiat;Powiat skierniewicki;;;;;;1107666965.61;777772228.89;777772228.89;544440560.22;;;;;;;;;;;;;
10-15-1;10-15;Projekt;Modernizacja linii kolejowej Warszawa – Łódź, etap II, Lot A - odcinek Warszawa Zachodnia - Miedniewice (Skierniewice);POIS.07.01.00-00-013/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;1,107,666,965.61;777,772,228.89;777,772,228.89;544,440,560.22;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
14-05;14;Powiat;Powiat grodziski;;;;;;369222321.87;259257409.63;259257409.63;181480186.74;;;;;;;;;;;;;
14-05-1;14-05;Projekt;Modernizacja linii kolejowej Warszawa – Łódź, etap II, Lot A - odcinek Warszawa Zachodnia - Miedniewice (Skierniewice);POIS.07.01.00-00-013/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;369,222,321.87;259,257,409.63;259,257,409.63;181,480,186.74;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
14-65-2;14-65;Projekt;Modernizacja linii kolejowej Warszawa – Łódź, etap II, Lot A - odcinek Warszawa Zachodnia - Miedniewice (Skierniewice);POIS.07.01.00-00-013/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;369,222,321.87;259,257,409.63;259,257,409.63;181,480,186.74;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
14-21;14;Powiat;Powiat pruszkowski;;;;;;369222321.87;259257409.63;259257409.63;181480186.74;;;;;;;;;;;;;
14-21-1;14-21;Projekt;Modernizacja linii kolejowej Warszawa – Łódź, etap II, Lot A - odcinek Warszawa Zachodnia - Miedniewice (Skierniewice);POIS.07.01.00-00-013/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;369,222,321.87;259,257,409.63;259,257,409.63;181,480,186.74;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
12-06;12;Powiat;Powiat krakowski;;;;;;1229288678.96;839278859.63;818040276.15;584359765.82;;;;;;;;;;;;;
12-06-1;12-06;Projekt;Modernizacja linii kolejowej E 30/C-E 30, odcinek Kraków-Rzeszów, etap III;POIS.07.01.00-00-016/10-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;1,168,019,594.40;778,935,034.43;778,935,034.43;545,254,524.10;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
12-16;12;Powiat;Powiat tarnowski;;;;;;1186368195.36;797283620.63;793848428.65;560167918.32;;;;;;;;;;;;;
12-16-1;12-16;Projekt;Modernizacja linii kolejowej E 30/C-E 30, odcinek Kraków-Rzeszów, etap III;POIS.07.01.00-00-016/10-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;1,168,019,594.40;778,935,034.43;778,935,034.43;545,254,524.10;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
18;;Województwo;Podkarpackie;;;;;;2339254600.51;1561085480.56;1560603168.8;1093242148.14;;;;;;;;;;;;;
18-16;18;Powiat;Powiat rzeszowski;;;;;;2336039188.81;1557870068.86;1557870068.86;1090509048.2;;;;;;;;;;;;;
18-16-1;18-16;Projekt;Modernizacja linii kolejowej E 30/C-E 30, odcinek Kraków-Rzeszów, etap III;POIS.07.01.00-00-016/10-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.01.00;;2,336,039,188.81;1,557,870,068.86;1,557,870,068.86;1,090,509,048.20;PKP Polskie Linie Kolejowe S.A.;1132316427;03-734;Warszawa;Mazowieckie;Powiat m. st. Warszawa;17 Kolej (sieci TEN-T);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
24;;Województwo;Śląskie;;;;;;60448692.91;58130725.49;54016406.96;49103990.21;;;;;;;;;;;;;
24-01;24;Powiat;Powiat będziński;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-01-1;24-01;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-05;24;Powiat;Powiat gliwicki;;;;;;1095376.05;943083.17;801620.69;801620.69;;;;;;;;;;;;;
24-05-1;24-05;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-63;24;Powiat;Powiat m. Chorzów;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-63-1;24-63;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-65;24;Powiat;Powiat m. Dąbrowa Górnicza;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-65-1;24-65;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-66;24;Powiat;Powiat m. Gliwice;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-66-1;24-66;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-68;24;Powiat;Powiat m. Jaworzno;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-68-1;24-68;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-69;24;Powiat;Powiat m. Katowice;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-69-1;24-69;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-70;24;Powiat;Powiat m. Mysłowice;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-70-1;24-70;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-72;24;Powiat;Powiat m. Ruda Śląska;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-72-1;24-72;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-74;24;Powiat;Powiat m. Siemianowice Śląskie;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-74-1;24-74;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-75;24;Powiat;Powiat m. Sosnowiec;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-75-1;24-75;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-76;24;Powiat;Powiat m. Świętochłowice;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-76-1;24-76;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-78;24;Powiat;Powiat m. Zabrze;;;;;;810491.83;658936.45;560095.98;560095.98;;;;;;;;;;;;;
24-78-1;24-78;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
24-16;24;Powiat;Powiat zawierciański;;;;;;33602453.83;33408381.45;33309540.98;28397124.23;;;;;;;;;;;;;
24-16-1;24-16;Projekt;System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP;POIS.08.03.00-00-001/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.08.00.00;POIS.08.03.00;;810,491.83;658,936.45;560,095.98;560,095.98;Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego;9542246280;40-053;Katowice;Śląskie;Powiat m. Katowice;28 Inteligentne systemy transportu;samorządowa osoba prawna;00 Nie dotyczy;;;2011/05/27;2011/05/30
10-20;10;Powiat;Powiat zgierski;;;;;;2000000.0;2000000.0;1700000.0;1700000.0;;;;;;;;;;;;;
10-20-1;10-20;Projekt;Budowa lądowiska dla śmigłowców ratunkowych wraz z zapewnieniem komunikacji z SOR w W.S.S. w Zgierzu;POIS.12.01.00-00-003/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;2,000,000.00;2,000,000.00;1,700,000.00;1,700,000.00;Wojewódzki Szpital Specjalistyczny im. Marii Skłodowskiej-Curie w Zgierzu;7321003187;95-100;Zgierz;Łódzkie;Powiat zgierski;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/05/30;2011/05/31
18-11;18;Powiat;Powiat mielecki;;;;;;3215411.7;3215411.7;2733099.94;2733099.94;;;;;;;;;;;;;
18-11-1;18-11;Projekt;Chcemy i możemy Ci pomóc w każdej sytuacji - Budowa lądowiska dla śmigłowców sanitarnych na terenie Szpitala Powiatowego im. E. Biernackiego w Mielcu;POIS.12.01.00-00-008/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;3,215,411.70;3,215,411.70;2,733,099.94;2,733,099.94;Szpital Powiatowy im. Edmunda Biernackiego w Mielcu;8171750893;39-300;MIELEC;Podkarpackie;Powiat mielecki;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/03/01;2011/03/02
12-10;12;Powiat;Powiat nowosądecki;;;;;;2725815.15;2725800.39;2225247.83;2225247.83;;;;;;;;;;;;;
12-10-1;12-10;Projekt;Przebudowa lądowiska dla helikopterów przy Szpitalu Specjalistycznym im. Jędrzeja Śniadeckiego w Nowym Sączu;POIS.12.01.00-00-011/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;2,463,850.39;2,463,850.39;2,094,272.83;2,094,272.83;Szpital Specjalistyczny im. Jędrzeja Śniadeckiego w Nowym Sączu;7342608458;33-300;Nowy Sącz;Małopolskie;Powiat m. Nowy Sącz / Powiat nowosądecki;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-011/10-01;Nie;2011/04/26;2011/04/27
30-64;30;Powiat;Powiat m. Poznań;;;;;;7278973.79;6590215.72;5648812.13;5129729.69;;;;;;;;;;;;;
30-64-1;30-64;Projekt;Budowa lądowiska dla śmigłowców sanitarnych w Szpitalu Wojewódzkim w Poznaniu.;POIS.12.01.00-00-027/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;3,460,549.56;3,460,549.56;3,460,549.56;2,941,467.12;Szpital Wojewódzki;7811618944;60-479;Poznań;Wielkopolskie;Powiat m. Poznań;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/02/07;2011/02/11
22-08-2;22-08;Projekt;Budowa lądowiska dla helikopterów w celu poprawy dostępności do Szpitalnego Oddziału Ratunkowego i poprawy jakości ratownictwa medycznego w Powiecie Lęborskim;POIS.12.01.00-00-039/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;1,674,180.84;1,674,180.84;1,423,053.71;1,423,053.71;Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej;8411461899;84-300;Lębork;Pomorskie;Powiat lęborski;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/05/04;2011/05/05
30-07;30;Powiat;Powiat kaliski;;;;;;2229572.99;2229572.99;1895137.04;1895137.04;;;;;;;;;;;;;
30-07-1;30-07;Projekt;Modernizacja lądowiska dla helikopterów przy Wojewódzkim Szpitalu Zespolonym w Kaliszu;POIS.12.01.00-00-044/10-01;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;693,672.99;693,672.99;589,622.04;589,622.04;Wojewódzki Szpital Zespolony im. Ludwika Perzyny w Kaliszu;6182025893;62-800;Kalisz;Wielkopolskie;Powiat kaliski / Powiat pleszewski;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/05/23;2011/05/24
04;;Województwo;Kujawsko-pomorskie;;;;;;24233047.96;24233047.96;21819435.53;20598090.75;;;;;;;;;;;;;
04-02;04;Powiat;Powiat brodnicki;;;;;;6215220.0;6215220.0;5282937.0;5282937.0;;;;;;;;;;;;;
04-02-1;04-02;Projekt;Lądowisko w Brodnicy szansą poprawy funkcjonowania systemu ratownictwa medycznego;POIS.12.01.00-00-050/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;6,215,220.00;6,215,220.00;5,282,937.00;5,282,937.00;Regionalny Szpital Specjalistyczny im. dr. Władysława Biegańskiego ;8762008352;86-300;Grudziądz;Kujawsko-pomorskie;Powiat brodnicki / Powiat m. Grudziądz;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/03/08;2011/03/14
12-09;12;Powiat;Powiat myślenicki;;;;;;13885220.94;13885220.94;9278591.95;9278591.95;;;;;;;;;;;;;
12-09-1;12-09;Projekt;Poprawa funkcjonowania systemu ratownictwa medycznego poprzez budowę lądowiska dla śmigłówców przy Szpitalnym Oddziale Ratunkowym Samodzielnego Publicznego Zakładu Opieki Zdrowotnej w Myślenicach;POIS.12.01.00-00-055/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;1,265,991.72;1,265,991.72;1,076,092.96;1,076,092.96;Powiat Myślenicki;6811692319;32-400;Myślenice;Małopolskie;Powiat myślenicki;76 Infrastruktura ochrony zdrowia;wspólnota samorządowa - powiat;00 Nie dotyczy;;;2011/05/30;2011/05/31
14-65-3;14-65;Projekt;Przebudowa lądowiska wraz z niezbędną infrastrukturą służącą polepszeniu dostępności do Szpitalnego Oddziału Ratunkowego Wojskowego Instytutu Medycznego;POIS.12.01.00-00-059/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;3,120,090.17;3,120,090.17;2,652,076.64;2,652,076.64;Wojskowy Instytut Medyczny;1132393221;04-141;Warszawa;Mazowieckie;Powiat m. st. Warszawa;76 Infrastruktura ochrony zdrowia;jednostka naukowa;00 Nie dotyczy;POIS.12.01.00-00-059/10-01;Nie;2011/01/24;2011/01/25
12-61-2;12-61;Projekt;Modernizacja Szpitalnego Oddziału Ratunkowego w Szpitalu im. L. Rydygiera w Krakowie wraz z budową lądowiska i zakupem aparatury i sprzętu.;POIS.12.01.00-00-218/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;15,557,340.26;13,767,088.77;11,702,025.45;11,702,025.45;Województwo Małopolskie;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;76 Infrastruktura ochrony zdrowia;wspólnota samorządowa;00 Nie dotyczy;;;2011/05/10;2011/05/12
02-20;02;Powiat;Powiat trzebnicki;;;;;;4661655.0;4611655.0;3919906.75;3919906.75;;;;;;;;;;;;;
02-20-1;02-20;Projekt;Rozbudowa i remont Szpitalnego Oddziału Ratunkowego Szpitala im. Św. Jadwigi Śląskiej oraz zakup sprzętu medycznego dla potrzeb oddziału.;POIS.12.01.00-00-225/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;4,661,655.00;4,611,655.00;3,919,906.75;3,919,906.75;Szpital im. Św. Jadwigi Śląskiej;9151523806;55-100;Trzebnica;Dolnośląskie;Powiat trzebnicki;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-225/08-01;Nie;2011/02/02;2011/02/08
16;;Województwo;Opolskie;;;;;;1712550.6;709515.4;603088.09;603088.09;;;;;;;;;;;;;
16-09;16;Powiat;Powiat opolski;;;;;;1712550.6;709515.4;603088.09;603088.09;;;;;;;;;;;;;
