"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Łódzkie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podkarpackie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Śląskie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Świętokrzyskie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
"POIS.05.01.00-00-229/09-00";"Ochrona in situ żubra w Polsce- część północno- wschodnia";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Mazowieckie";"";"";"3,346,334.96";"3,162,257.31";"2,687,918.71";"2,687,918.71";"Szkoła Główna Gospodarstwa Wiejskiego";"5250007425";"02-787";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/15";"2011/04/21"
"POIS.05.01.00-00-229/09-00";"Ochrona in situ żubra w Polsce- część północno- wschodnia";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podlaskie";"";"";"3,346,334.96";"3,162,257.31";"2,687,918.71";"2,687,918.71";"Szkoła Główna Gospodarstwa Wiejskiego";"5250007425";"02-787";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/15";"2011/04/21"
"POIS.05.01.00-00-229/09-00";"Ochrona in situ żubra w Polsce- część północno- wschodnia";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Świętokrzyskie";"";"";"3,346,334.96";"3,162,257.31";"2,687,918.71";"2,687,918.71";"Szkoła Główna Gospodarstwa Wiejskiego";"5250007425";"02-787";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/15";"2011/04/21"
"POIS.05.01.00-00-229/09-00";"Ochrona in situ żubra w Polsce- część północno- wschodnia";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Warmińsko-mazurskie";"";"";"3,346,334.96";"3,162,257.31";"2,687,918.71";"2,687,918.71";"Szkoła Główna Gospodarstwa Wiejskiego";"5250007425";"02-787";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/15";"2011/04/21"
"POIS.05.03.00-00-271/10-00";"Opracowanie projektu planu ochrony dla Wielkopolskiego Parku Narodowego";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.03.00";"";"Wielkopolskie";"";"";"2,492,212.78";"2,492,212.78";"2,492,212.78";"2,118,380.86";"Wielkopolski Park Narodowy";"7771037163";"62-050";"Mosina";"Wielkopolskie";"Powiat poznański";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.03.00-00-271/10-01";"Nie";"2011/01/25";"2011/02/01"
