"numer";"parent";"idef";"czesc";"level";"tresc";"pozycja";"total";"dot_sub";"swiad_fiz";"wyd_jednostek";"wyd_majatk";"wyd_dlug";"sw_eu";"wspolfin_eu"
75514;"34-755";"34-755-14";"34";2;"Krajowa Szkoła Sądownictwa i Prokuratury";14;337;;;;;;;337
758;"34";"34-758";"34";1;"Różne rozliczenia";15;909534;;;;;;;909534
75861;"34-758";"34-758-61";"34";2;"Regionalne Programy Operacyjne 2007-2013";16;632235;;;;;;;632235
75862;"34-758";"34-758-62";"34";2;"Program Operacyjny Kapitał Ludzki";17;277299;;;;;;;277299
852;"34";"34-852";"34";1;"Pomoc społeczna";18;2299;;;;;;;2299
85217;"34-852";"34-852-17";"34";2;"Regionalne ośrodki polityki społecznej";19;2299;;;;;;;2299
853;"34";"34-853";"34";1;"Pozostałe zadania w zakresie polityki społecznej";20;95621;;;;;;;95621
85332;"34-853";"34-853-32";"34";2;"Wojewódzkie urzędy pracy";21;95621;;;;;;;95621
"35";;"35";"35";0;"RYNKI ROLNE";1;524329;309482;122;26979;10220;;;177526
10;"35";"35-010";"35";1;"Rolnictwo i łowiectwo";2;20124;;120;19884;120;;;
1023;"35-010";"35-010-23";"35";2;"Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych";3;17160;;110;16930;120;;;
1095;"35-010";"35-010-95";"35";2;"Pozostała działalność";4;2964;;10;2954;;;;
500;"35";"35-500";"35";1;"Handel";5;496812;309186;;;10100;;;177526
50002;"35-500";"35-500-02";"35";2;"Agencja Rynku Rolnego";6;496812;309186;;;10100;;;177526
750;"35";"35-750";"35";1;"Administracja publiczna";7;7383;296;2;7085;;;;
75001;"35-750";"35-750-01";"35";2;"Urzędy naczelnych i centralnych organów administracji rządowej";8;6964;;2;6962;;;;
75076;"35-750";"35-750-76";"35";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";9;419;296;;123;;;;
752;"35";"35-752";"35";1;"Obrona narodowa";10;10;;;10;;;;
75212;"35-752";"35-752-12";"35";2;"Pozostałe wydatki obronne";11;10;;;10;;;;
"36";;"36";"36";0;"SKARB PAŃSTWA";1;82897;9514;121;67012;6250;;;
150;"36";"36-150";"36";1;"Przetwórstwo przemysłowe";2;7879;7014;;;865;;;
15095;"36-150";"36-150-95";"36";2;"Pozostała działalność";3;7879;7014;;;865;;;
750;"36";"36-750";"36";1;"Administracja publiczna";4;71183;;121;65677;5385;;;
75001;"36-750";"36-750-01";"36";2;"Urzędy naczelnych i centralnych organów administracji rządowej";5;70932;;121;65426;5385;;;
75076;"36-750";"36-750-76";"36";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";6;251;;;251;;;;
752;"36";"36-752";"36";1;"Obrona narodowa";7;335;;;335;;;;
75212;"36-752";"36-752-12";"36";2;"Pozostałe wydatki obronne";8;335;;;335;;;;
758;"36";"36-758";"36";1;"Różne rozliczenia";9;1000;;;1000;;;;
75820;"36-758";"36-758-20";"36";2;"Prywatyzacja";10;1000;;;1000;;;;
921;"36";"36-921";"36";1;"Kultura i ochrona dziedzictwa narodowego";11;2500;2500;;;;;;
92115;"36-921";"36-921-15";"36";2;"Polska Agencja Prasowa";12;2500;2500;;;;;;
"37";;"37";"37";0;"SPRAWIEDLIWOŚĆ";1;3870487;40310;1170739;2541196;109904;;;8338
750;"37";"37-750";"37";1;"Administracja publiczna";2;63222;;;62579;;;;643
75001;"37-750";"37-750-01";"37";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;61424;;;60781;;;;643
75076;"37-750";"37-750-76";"37";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;1798;;;1798;;;;
752;"37";"37-752";"37";1;"Obrona narodowa";5;309;;;309;;;;
75212;"37-752";"37-752-12";"37";2;"Pozostałe wydatki obronne";6;309;;;309;;;;
753;"37";"37-753";"37";1;"Obowiązkowe ubezpieczenia społeczne";7;1051716;;1044676;7040;;;;
75301;"37-753";"37-753-01";"37";2;"Świadczenia pieniężne z zaopatrzenia emerytalnego";8;1045640;;1038600;7040;;;;
75312;"37-753";"37-753-12";"37";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";9;6076;;6076;;;;;
755;"37";"37-755";"37";1;"Wymiar sprawiedliwości";10;2630902;40310;124401;2348614;109904;;;7673
75501;"37-755";"37-755-01";"37";2;"Centralne administracyjne  jednostki wymiaru sprawiedliwości  i prokuratury";11;100460;;35;77783;18154;;;4488
75507;"37-755";"37-755-07";"37";2;"Instytuty naukowe resortu sprawiedliwości";12;17951;;31;17270;650;;;
75512;"37-755";"37-755-12";"37";2;"Więziennictwo";13;2373267;;122655;2168248;80000;;;2364
75513;"37-755";"37-755-13";"37";2;"Zakłady dla nieletnich";14;98914;;1680;85313;11100;;;821
75514;"37-755";"37-755-14";"37";2;"Krajowa Szkoła Sądownictwa i Prokuratury";15;40310;40310;;;;;;
801;"37";"37-801";"37";1;"Oświata i wychowanie";16;123142;;;121458;;;;22
80144;"37-801";"37-801-44";"37";2;"Inne formy kształcenia osobno niewymienione";17;123142;;;121458;;;;22
851;"37";"37-851";"37";1;"Ochrona zdrowia";18;1196;;;1196;;;;
85156;"37-851";"37-851-56";"37";2;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";19;1196;;;1196;;;;
"38";;"38";"38";0;"SZKOLNICTWO  WYśSZE";1;9594987;8894344;134143;47008;410349;;;109143
150;"38";"38-150";"38";1;"Przetwórstwo przemysłowe";2;8605;8605;;;;;;
15002;"38-150";"38-150-02";"38";2;"Wydawanie podręczników szkolnych i akademickich";3;8605;8605;;;;;;
750;"38";"38-750";"38";1;"Administracja publiczna";4;19180;;10;10986;760;;;7424
75001;"38-750";"38-750-01";"38";2;"Urzędy naczelnych i centralnych organów administracji rządowej";5;18917;;10;10723;760;;;7424
75076;"38-750";"38-750-76";"38";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";6;263;;;263;;;;
752;"38";"38-752";"38";1;"Obrona narodowa";7;24;;;24;;;;
75212;"38-752";"38-752-12";"38";2;"Pozostałe wydatki obronne";8;24;;;24;;;;
803;"38";"38-803";"38";1;"Szkolnictwo wyższe";9;9557047;8885739;134133;25867;409589;;;101719
80306;"38-803";"38-803-06";"38";2;"Działalność dydaktyczna";10;7841406;7423620;3685;;357357;;;56744
80307;"38-803";"38-803-07";"38";2;"Jednostki pomocnicze szkolnictwa wyższego";11;3025;;15;3010;;;;
80309;"38-803";"38-803-09";"38";2;"Pomoc materialna dla studentów i doktorantów";12;1520268;1453324;14782;;52162;;;
80310;"38-803";"38-803-10";"38";2;"Fundusz Pożyczek i Kredytów Studenckich";13;87300;;87300;;;;;
80395;"38-803";"38-803-95";"38";2;"Pozostała działalność";14;105048;8795;28351;22857;70;;;44975
851;"38";"38-851";"38";1;"Ochrona zdrowia";15;10131;;;10131;;;;
85156;"38-851";"38-851-56";"38";2;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";16;10131;;;10131;;;;
"39";;"39";"39";0;"TRANSPORT";1;5876766;1638151;4559;2404084;1521929;;;308043
600;"39";"39-600";"39";1;"Transport i łączność";2;5734356;1628178;;2345015;1502212;;;254417
60001;"39-600";"39-600-01";"39";2;"Krajowe pasażerskie przewozy kolejowe";3;620000;620000;4534;;;;;
60002;"39-600";"39-600-02";"39";2;"Infrastruktura kolejowa";4;2011867;1000000;;;905257;;;106610
60004;"39-600";"39-600-04";"39";2;"Lokalny transport zbiorowy";5;7566;;;;;;;7566
60005;"39-600";"39-600-05";"39";2;"Autostrady płatne";6;186819;;;117542;68431;;;846
60011;"39-600";"39-600-11";"39";2;"Drogi publiczne krajowe";7;2188953;;;1661166;479399;;;48388
60012;"39-600";"39-600-12";"39";2;"Generalna Dyrekcja Dróg Krajowych i Autostrad";8;618652;;4336;489745;37347;;;87224
60041;"39-600";"39-600-41";"39";2;"Infrastruktura portowa";9;172;;;;;;;172
60042;"39-600";"39-600-42";"39";2;"Urzędy żeglugi śródlądowej ";10;10691;;70;5313;5308;;;
60055;"39-600";"39-600-55";"39";2;"Inspekcja Transportu Drogowego";11;19944;;78;17765;2101;;;
60056;"39-600";"39-600-56";"39";2;"Urząd Lotnictwa Cywilnego";12;53364;;50;48945;4369;;;
60061;"39-600";"39-600-61";"39";2;"Polska Agencja śeglugi Powietrznej";13;8178;8178;;;;;;
60095;"39-600";"39-600-95";"39";2;"Pozostała działalność";14;8150;;;4539;;;;3611
750;"39";"39-750";"39";1;"Administracja publiczna";15;110801;;25;51533;5617;;;53626
75001;"39-750";"39-750-01";"39";2;"Urzędy naczelnych i centralnych organów administracji rządowej";16;107423;;25;48155;5617;;;53626
75057;"39-750";"39-750-57";"39";2;"Placówki zagraniczne";17;2000;;;2000;;;;
75076;"39-750";"39-750-76";"39";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";18;1378;;;1378;;;;
752;"39";"39-752";"39";1;"Obrona narodowa";19;21636;;;7536;14100;;;
75212;"39-752";"39-752-12";"39";2;"Pozostałe wydatki obronne";20;21636;;;7536;14100;;;
803;"39";"39-803";"39";1;"Szkolnictwo wyższe";21;9973;9973;;;;;;
80306;"39-803";"39-803-06";"39";2;"Działalność dydaktyczna";22;9973;9973;;;;;;
"40";;"40";"40";0;"TURYSTYKA";1;48313;39900;25;8218;170;;;
630;"40";"40-630";"40";1;"Turystyka";2;43188;39900;23;3265;;;;
63002;"40-630";"40-630-02";"40";2;"Polska Organizacja Turystyczna";3;38100;38100;;;;;;
63003;"40-630";"40-630-03";"40";2;"Zadania w zakresie upowszechniania  turystyki";4;1800;1800;;;;;;
63095;"40-630";"40-630-95";"40";2;"Pozostała działalność";5;3288;;23;3265;;;;
750;"40";"40-750";"40";1;"Administracja publiczna";6;5115;;2;4943;170;;;
75001;"40-750";"40-750-01";"40";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;4453;;2;4281;170;;;
75076;"40-750";"40-750-76";"40";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;662;;;662;;;;
752;"40";"40-752";"40";1;"Obrona narodowa";9;10;;;10;;;;
75212;"40-752";"40-752-12";"40";2;"Pozostałe wydatki obronne";10;10;;;10;;;;
"41";;"41";"41";0;"ŚRODOWISKO";1;480045;4220;3610;287548;3913;;;180754
20;"41";"41-020";"41";1;"Leśnictwo";2;8843;4220;5;1242;183;;;3193
2003;"41-020";"41-020-03";"41";2;"Biuro Nasiennictwa Leśnego";3;1430;;5;1242;183;;;
2095;"41-020";"41-020-95";"41";2;"Pozostała działalność";4;7413;4220;;;;;;3193
710;"41";"41-710";"41";1;"Działalność usługowa";5;2818;;;2818;;;;
71005;"41-710";"41-710-05";"41";2;"Prace geologiczne (nieinwestycyjne)";6;960;;;960;;;;
71095;"41-710";"41-710-95";"41";2;"Pozostała działalność";7;1858;;;1858;;;;
750;"41";"41-750";"41";1;"Administracja publiczna";8;62973;;22;52122;1000;;;9829
75001;"41-750";"41-750-01";"41";2;"Urzędy naczelnych i centralnych organów administracji rządowej";9;60658;;15;49814;1000;;;9829
75076;"41-750";"41-750-76";"41";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";10;2208;;;2208;;;;
75095;"41-750";"41-750-95";"41";2;"Pozostała działalność";11;107;;7;100;;;;
752;"41";"41-752";"41";1;"Obrona narodowa";12;182;;;182;;;;
75212;"41-752";"41-752-12";"41";2;"Pozostałe wydatki obronne";13;182;;;182;;;;
801;"41";"41-801";"41";1;"Oświata i wychowanie";14;30754;;711;28815;1228;;;
80130;"41-801";"41-801-30";"41";2;"Szkoły zawodowe";15;26621;;515;24897;1209;;;
80146;"41-801";"41-801-46";"41";2;"Dokształcanie i doskonalenie nauczycieli";16;49;;;49;;;;
80148;"41-801";"41-801-48";"41";2;"Stołówki szkolne i przedszkolne";17;3427;;139;3276;12;;;
80195;"41-801";"41-801-95";"41";2;"Pozostała działalność";18;657;;57;593;7;;;
854;"41";"41-854";"41";1;"Edukacyjna opieka wychowawcza";19;13514;;260;12768;486;;;
85410;"41-854";"41-854-10";"41";2;"Internaty i bursy szkolne";20;13484;;260;12738;486;;;
85446;"41-854";"41-854-46";"41";2;"Dokształcanie i doskonalenie nauczycieli";21;30;;;30;;;;
900;"41";"41-900";"41";1;"Gospodarka komunalna i ochrona środowiska";22;277162;;206;117309;396;;;159251
90008;"41-900";"41-900-08";"41";2;"Ochrona różnorodności biologicznej i krajobrazu";23;49;;;49;;;;
90011;"41-900";"41-900-11";"41";2;"Fundusz Ochrony Środowiska i Gospodarki Wodnej";24;152244;;;;;;;152244
90014;"41-900";"41-900-14";"41";2;"Inspekcja Ochrony Środowiska";25;19459;;20;16395;40;;;3004
90022;"41-900";"41-900-22";"41";2;"Generalna Dyrekcja Ochrony Środowiska";26;18109;;8;16755;;;;1346
90023;"41-900";"41-900-23";"41";2;"Regionalne dyrekcje ochrony środowiska";27;85321;;177;82648;326;;;2170
90095;"41-900";"41-900-95";"41";2;"Pozostała działalność";28;1980;;1;1462;30;;;487
925;"41";"41-925";"41";1;"Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody";29;83799;;2406;72292;620;;;8481
92501;"41-925";"41-925-01";"41";2;"Parki narodowe";30;83783;;2395;72287;620;;;8481
92595;"41-925";"41-925-95";"41";2;"Pozostała działalność";31;16;;11;5;;;;
"42";;"42";"42";0;"SPRAWY WEWNĘTRZNE";1;17102013;188947;6943288;9489936;401561;;;78281
710;"42";"42-710";"42";1;"Działalność usługowa";2;10;10;;;;;;
71032;"42-710";"42-710-32";"42";2;"Agencja Mienia Wojskowego";3;10;10;;;;;;
750;"42";"42-750";"42";1;"Administracja publiczna";4;489674;400;152;392224;35369;;;61529
75001;"42-750";"42-750-01";"42";2;"Urzędy naczelnych i centralnych organów administracji rządowej";5;133470;400;118;125428;5893;;;1631
75070;"42-750";"42-750-70";"42";2;"Centrum Personalizacji Dokumentów";6;219949;;27;203885;16037;;;
75073;"42-750";"42-750-73";"42";2;"Urząd do Spraw Cudzoziemców";7;26228;;7;24405;1300;;;516
75076;"42-750";"42-750-76";"42";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;36499;;;24909;11590;;;
75095;"42-750";"42-750-95";"42";2;"Pozostała działalność";9;73528;;;13597;549;;;59382
753;"42";"42-753";"42";1;"Obowiązkowe ubezpieczenia społeczne";10;6608070;;6541775;59951;6344;;;
75301;"42-753";"42-753-01";"42";2;"Świadczenia pieniężne z zaopatrzenia emerytalnego";11;6608070;;6541775;59951;6344;;;
754;"42";"42-754";"42";1;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";12;9811699;99010;385354;8997103;313480;;;16752
75402;"42-754";"42-754-02";"42";2;"Komenda Główna Policji";13;503693;;14334;453297;36007;;;55
75403;"42-754";"42-754-03";"42";2;"Jednostki terenowe Policji ";14;462796;;2234;332353;128209;;;
75404;"42-754";"42-754-04";"42";2;"Komendy wojewódzkie Policji ";15;1818989;;62821;1732437;15541;;;8190
75405;"42-754";"42-754-05";"42";2;"Komendy powiatowe Policji ";16;5317463;;230697;5005494;75430;;;5842
75406;"42-754";"42-754-06";"42";2;"Straż Graniczna";17;1244913;;64045;1164370;13845;;;2653
75408;"42-754";"42-754-08";"42";2;"Biuro Ochrony Rządu";18;189775;;5533;177042;7200;;;
75409;"42-754";"42-754-09";"42";2;"Komenda Główna Państwowej Straży Pożarnej";19;165312;56981;4379;84321;19619;;;12
75412;"42-754";"42-754-12";"42";2;"Ochotnicze straże pożarne";20;28247;12000;;;16247;;;
75414;"42-754";"42-754-14";"42";2;"Obrona cywilna";21;116;;;116;;;;
75415;"42-754";"42-754-15";"42";2;"Zadania ratownictwa górskiego i wodnego";22;12249;11140;;;1109;;;
75421;"42-754";"42-754-21";"42";2;"Zarządzanie kryzysowe";23;6831;;10;6709;112;;;
75495;"42-754";"42-754-95";"42";2;"Pozostała działalność";24;61315;18889;1301;40964;161;;;
803;"42";"42-803";"42";1;"Szkolnictwo wyższe";25;87564;87317;247;;;;;
80303;"42-803";"42-803-03";"42";2;"Uczelnie służb państwowych";26;85825;85825;;;;;;
80309;"42-803";"42-803-09";"42";2;"Pomoc materialna dla studentów i doktorantów";27;1695;1492;203;;;;;
80395;"42-803";"42-803-95";"42";2;"Pozostała działalność";28;44;;44;;;;;
851;"42";"42-851";"42";1;"Ochrona zdrowia";29;57083;2210;84;8421;46368;;;
85132;"42-851";"42-851-32";"42";2;"Inspekcja Sanitarna";30;6437;;;6427;10;;;
85141;"42-851";"42-851-41";"42";2;"Ratownictwo medyczne";31;982;;;982;;;;
85143;"42-851";"42-851-43";"42";2;"Publiczna służba krwi";32;1175;1175;;;;;;
85149;"42-851";"42-851-49";"42";2;"Programy polityki zdrowotnej";33;5985;825;;;5160;;;
85195;"42-851";"42-851-95";"42";2;"Pozostała działalność";34;42504;210;84;1012;41198;;;
852;"42";"42-852";"42";1;"Pomoc społeczna";35;47913;;15676;32237;;;;
85231;"42-852";"42-852-31";"42";2;"Pomoc dla cudzoziemców";36;47913;;15676;32237;;;;
"43";;"43";"43";0;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";1;113264;103440;2;7623;1182;;;1017
750;"43";"43-750";"43";1;"Administracja publiczna";2;9997;1275;2;7623;80;;;1017
75001;"43-750";"43-750-01";"43";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;8860;1155;2;7623;80;;;
75095;"43-750";"43-750-95";"43";2;"Pozostała działalność";4;1137;120;;;;;;1017
758;"43";"43-758";"43";1;"Różne rozliczenia";5;89185;89185;;;;;;
75822;"43-758";"43-758-22";"43";2;"Fundusz Kościelny";6;89185;89185;;;;;;
801;"43";"43-801";"43";1;"Oświata i wychowanie";7;881;160;;;721;;;
80120;"43-801";"43-801-20";"43";2;"Licea ogólnokształcące ";8;721;;;;721;;;
80195;"43-801";"43-801-95";"43";2;"Pozostała działalność";9;160;160;;;;;;
803;"43";"43-803";"43";1;"Szkolnictwo wyższe";10;345;345;;;;;;
80395;"43-803";"43-803-95";"43";2;"Pozostała działalność";11;345;345;;;;;;
921;"43";"43-921";"43";1;"Kultura i ochrona dziedzictwa narodowego";12;12856;12475;;;381;;;
92104;"43-921";"43-921-04";"43";2;"Działalność radiowa i telewizyjna";13;870;870;;;;;;
92105;"43-921";"43-921-05";"43";2;"Pozostałe zadania w zakresie kultury";14;11986;11605;;;381;;;
"44";;"44";"44";0;"ZABEZPIECZENIE SPOŁECZNE";1;806217;760035;136;44771;;;;1275
750;"44";"44-750";"44";1;"Administracja publiczna";2;34185;;136;33555;;;;494
75001;"44-750";"44-750-01";"44";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;32045;;36;31515;;;;494
75076;"44-750";"44-750-76";"44";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;1486;;;1486;;;;
75095;"44-750";"44-750-95";"44";2;"Pozostała działalność";5;654;;100;554;;;;
752;"44";"44-752";"44";1;"Obrona narodowa";6;15;;;15;;;;
75212;"44-752";"44-752-12";"44";2;"Pozostałe wydatki obronne";7;15;;;15;;;;
852;"44";"44-852";"44";1;"Pomoc społeczna";8;24331;12349;;11201;;;;781
85295;"44-852";"44-852-95";"44";2;"Pozostała działalność";9;24331;12349;;11201;;;;781
853;"44";"44-853";"44";1;"Pozostałe zadania w zakresie polityki społecznej";10;747686;747686;;;;;;
85324;"44-853";"44-853-24";"44";2;"Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych";11;747686;747686;;;;;;
"45";;"45";"45";0;"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";1;1823536;12235;250060;1358443;168877;;;33921
750;"45";"45-750";"45";1;"Administracja publiczna";2;1788021;12235;247018;1325970;168877;;;33921
75001;"45-750";"45-750-01";"45";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;299649;;129;242995;56401;;;124
75057;"45-750";"45-750-57";"45";2;"Placówki zagraniczne";4;925763;;246889;567438;111436;;;
75058;"45-750";"45-750-58";"45";2;"Działalność informacyjna i kulturalna prowadzona za granicą";5;46627;;;46627;;;;
75062;"45-750";"45-750-62";"45";2;"Polski Instytut Spraw Międzynarodowych";6;9107;9107;;;;;;
75063;"45-750";"45-750-63";"45";2;"Polski Komitet do spraw UNESCO";7;1228;1228;;;;;;
75076;"45-750";"45-750-76";"45";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;111483;;;110443;1040;;;
75095;"45-750";"45-750-95";"45";2;"Pozostała działalność";9;394164;1900;;358467;;;;33797
752;"45";"45-752";"45";1;"Obrona narodowa";10;710;;;710;;;;
75212;"45-752";"45-752-12";"45";2;"Pozostałe wydatki obronne";11;710;;;710;;;;
801;"45";"45-801";"45";1;"Oświata i wychowanie";12;4405;;;4405;;;;
80135;"45-801";"45-801-35";"45";2;"Szkolnictwo polskie za granicą";13;4405;;;4405;;;;
853;"45";"45-853";"45";1;"Pozostałe zadania w zakresie polityki społecznej";14;3542;;3042;500;;;;
85330;"45-853";"45-853-30";"45";2;"Opieka i pomoc dla Polonii i Polaków za granicą";15;3542;;3042;500;;;;
854;"45";"45-854";"45";1;"Edukacyjna opieka wychowawcza";16;614;;;614;;;;
85413;"45-854";"45-854-13";"45";2;"Kolonie i obozy dla młodzieży polonijnej w kraju";17;614;;;614;;;;
921;"45";"45-921";"45";1;"Kultura i ochrona dziedzictwa narodowego";18;26244;;;26244;;;;
92104;"45-921";"45-921-04";"45";2;"Działalność radiowa i telewizyjna";19;21815;;;21815;;;;
92195;"45-921";"45-921-95";"45";2;"Pozostała działalność";20;4429;;;4429;;;;
"46";;"46";"46";0;"ZDROWIE";1;3686516;1727346;3915;1023354;843222;;;88679
750;"46";"46-750";"46";1;"Administracja publiczna";2;58053;;220;48953;1500;;;7380
75001;"46-750";"46-750-01";"46";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;55496;;220;46396;1500;;;7380
75076;"46-750";"46-750-76";"46";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;2557;;;2557;;;;
752;"46";"46-752";"46";1;"Obrona narodowa";5;11395;;;11395;;;;
75212;"46-752";"46-752-12";"46";2;"Pozostałe wydatki obronne";6;11395;;;11395;;;;
803;"46";"46-803";"46";1;"Szkolnictwo wyższe";7;1364173;1317256;2752;27;35000;;;9138
80306;"46-803";"46-803-06";"46";2;"Działalność dydaktyczna";8;1269489;1224818;533;;35000;;;9138
80309;"46-803";"46-803-09";"46";2;"Pomoc materialna dla studentów i doktorantów";9;94657;92438;2219;;;;;
80395;"46-803";"46-803-95";"46";2;"Pozostała działalność";10;27;;;27;;;;
851;"46";"46-851";"46";1;"Ochrona zdrowia";11;2244190;401385;943;962979;806722;;;72161
85112;"46-851";"46-851-12";"46";2;"Szpitale kliniczne";12;534316;;;;531097;;;3219
85117;"46-851";"46-851-17";"46";2;"Zakłady opiekuńczo-lecznicze i pielęgnacyjno-opiekuńcze";13;7544;;;7344;200;;;
85120;"46-851";"46-851-20";"46";2;"Lecznictwo psychiatryczne";14;36887;;23;36514;350;;;
85132;"46-851";"46-851-32";"46";2;"Inspekcja Sanitarna ";15;32949;;29;32055;865;;;
85133;"46-851";"46-851-33";"46";2;"Inspekcja Farmaceutyczna";16;12454;;5;12449;;;;
85134;"46-851";"46-851-34";"46";2;"Inspekcja do Spraw Substancji i Preparatów Chemicznych";17;3931;;;3931;;;;
85137;"46-851";"46-851-37";"46";2;"Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych";18;46673;;40;46033;600;;;
85138;"46-851";"46-851-38";"46";2;"Dopłaty do oprocentowania  kredytów udzielanych lekarzom, lekarzom dentystom, pielęgniarkom i położnym oraz umorzenia tych kredytów";19;1000;1000;;;;;;
85141;"46-851";"46-851-41";"46";2;"Ratownictwo medyczne";20;79335;75409;;;3926;;;
85143;"46-851";"46-851-43";"46";2;"Publiczna służba krwi";21;86968;83560;23;2324;1000;;;61
85148;"46-851";"46-851-48";"46";2;"Medycyna pracy";22;1125;;;1125;;;;
85149;"46-851";"46-851-49";"46";2;"Programy polityki zdrowotnej";23;617956;;;352821;265135;;;
85151;"46-851";"46-851-51";"46";2;"Świadczenia wysokospecjalistyczne";24;309545;;;309545;;;;
85152;"46-851";"46-851-52";"46";2;"Zapobieganie i zwalczanie AIDS";25;5704;1336;95;4123;150;;;
85153;"46-851";"46-851-53";"46";2;"Zwalczanie narkomanii ";26;9220;5553;;3607;60;;;
85154;"46-851";"46-851-54";"46";2;"Przeciwdziałanie  alkoholizmowi";27;5885;997;;4888;;;;
85156;"46-851";"46-851-56";"46";2;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";28;207812;207812;;;;;;
85195;"46-851";"46-851-95";"46";2;"Pozostała działalność";29;244886;25718;728;146220;3339;;;68881
921;"46";"46-921";"46";1;"Kultura i ochrona dziedzictwa narodowego";30;8705;8705;;;;;;
92116;"46-921";"46-921-16";"46";2;"Biblioteki";31;8705;8705;;;;;;
"49";;"49";"49";0;"URZĄD ZAMÓWIEŃ PUBLICZNYCH";1;20626;;9;18720;150;;;1747
750;"49";"49-750";"49";1;"Administracja publiczna";2;20626;;9;18720;150;;;1747
75001;"49-750";"49-750-01";"49";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;20586;;9;18680;150;;;1747
75076;"49-750";"49-750-76";"49";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;40;;;40;;;;
"50";;"50";"50";0;"URZĄD REGULACJI ENERGETYKI";1;34330;;5;34079;246;;;
750;"50";"50-750";"50";1;"Administracja publiczna";2;34330;;5;34079;246;;;
75001;"50-750";"50-750-01";"50";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;34330;;5;34079;246;;;
"53";;"53";"53";0;"URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW";1;52476;1700;63;46423;3330;;;960
750;"53";"53-750";"53";1;"Administracja publiczna";2;52472;1700;63;46419;3330;;;960
75001;"53-750";"53-750-01";"53";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;50336;;63;45983;3330;;;960
75076;"53-750";"53-750-76";"53";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;436;;;436;;;;
75095;"53-750";"53-750-95";"53";2;"Pozostała działalność";5;1700;1700;;;;;;
752;"53";"53-752";"53";1;"Obrona narodowa";6;4;;;4;;;;
75212;"53-752";"53-752-12";"53";2;"Pozostałe wydatki obronne";7;4;;;4;;;;
"54";;"54";"54";0;"URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH";1;29148;1800;9505;17743;100;;;
750;"54";"54-750";"54";1;"Administracja publiczna";2;14309;;5;14204;100;;;
75001;"54-750";"54-750-01";"54";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;14309;;5;14204;100;;;
752;"54";"54-752";"54";1;"Obrona narodowa";4;1;;;1;;;;
75212;"54-752";"54-752-12";"54";2;"Pozostałe wydatki obronne";5;1;;;1;;;;
851;"54";"54-851";"54";1;"Ochrona zdrowia";6;16;;;16;;;;
85156;"54-851";"54-851-56";"54";2;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";7;16;;;16;;;;
