"numer";"parent";"idef";"czesc";"level";"tresc";"pozycja";"total";"dot_sub";"swiad_fiz";"wyd_jednostek";"wyd_majatk";"wyd_dlug";"sw_eu";"wspolfin_eu"
70095;"18-700";"18-700-95";"18";2;"Pozostała działalność";8;1279;;;1279;;;;
710;"18";"18-710";"18";1;"Działalność usługowa";9;18691;;163;18378;150;;;
71015;"18-710";"18-710-15";"18";2;"Nadzór budowlany";10;17489;;3;17336;150;;;
71095;"18-710";"18-710-95";"18";2;"Pozostała działalność";11;1202;;160;1042;;;;
750;"18";"18-750";"18";1;"Administracja publiczna";12;31622;;10;30763;849;;;
75001;"18-750";"18-750-01";"18";2;"Urzędy naczelnych i centralnych organów administracji rządowej";13;31273;;10;30414;849;;;
75076;"18-750";"18-750-76";"18";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";14;287;;;287;;;;
75095;"18-750";"18-750-95";"18";2;"Pozostała działalność";15;62;;;62;;;;
752;"18";"18-752";"18";1;"Obrona narodowa";16;4;;;4;;;;
75212;"18-752";"18-752-12";"18";2;"Pozostałe wydatki obronne";17;4;;;4;;;;
"19";;"19";"19";0;"BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE";1;5792213;193782;57691;5218021;250086;;;72633
150;"19";"19-150";"19";1;"Przetwórstwo przemysłowe";2;12000;;;5000;7000;;;
15018;"19-150";"19-150-18";"19";2;"Rozliczenia związane z systemem dopłat do oprocentowania  kredytów eksportowych o stałych stopach procentowych";3;5000;;;5000;;;;
15019;"19-150";"19-150-19";"19";2;"Wspieranie polskiego eksportu poprzez udzielanie przez Bank Gospodarstwa Krajowego kredytów eksportowych";4;7000;;;;7000;;;
550;"19";"19-550";"19";1;"Hotele i restauracje";5;21000;21000;;;;;;
55003;"19-550";"19-550-03";"19";2;"Bary mleczne";6;21000;21000;;;;;;
750;"19";"19-750";"19";1;"Administracja publiczna";7;5338187;;57691;4964777;243086;;;72633
75001;"19-750";"19-750-01";"19";2;"Urzędy naczelnych i centralnych organów administracji rządowej";8;290098;;443;260743;;;;28912
75008;"19-750";"19-750-08";"19";2;"Izby skarbowe";9;314696;;32;292064;22600;;;
75009;"19-750";"19-750-09";"19";2;"Urzędy skarbowe";10;2575850;;802;2542128;32920;;;
75010;"19-750";"19-750-10";"19";2;"Urzędy kontroli skarbowej";11;507535;;32;476542;2569;;;28392
75013;"19-750";"19-750-13";"19";2;"Izby celne i urzędy celne";12;1522346;;56122;1299927;164937;;;1360
75046;"19-750";"19-750-46";"19";2;"Komisje egzaminacyjne";13;1077;;200;877;;;;
75076;"19-750";"19-750-76";"19";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";14;2887;;;2887;;;;
75095;"19-750";"19-750-95";"19";2;"Pozostała działalność";15;123698;;60;89609;20060;;;13969
752;"19";"19-752";"19";1;"Obrona narodowa";16;116;;;116;;;;
75212;"19-752";"19-752-12";"19";2;"Pozostałe wydatki obronne";17;116;;;116;;;;
754;"19";"19-754";"19";1;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";18;44;;;44;;;;
75414;"19-754";"19-754-14";"19";2;"Obrona cywilna";19;44;;;44;;;;
756;"19";"19-756";"19";1;"Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających  osobowości prawnej oraz wydatki związane z ich poborem";20;247364;;;247364;;;;
75647;"19-756";"19-756-47";"19";2;"Pobór podatków, opłat i niepodatkowych  należności budżetowych";21;247364;;;247364;;;;
758;"19";"19-758";"19";1;"Różne rozliczenia";22;173502;172782;;720;;;;
75823;"19-758";"19-758-23";"19";2;"Partie polityczne";23;173502;172782;;720;;;;
"20";;"20";"20";0;"GOSPODARKA";1;1482848;859752;34045;246523;31681;;;310847
100;"20";"20-100";"20";1;"Górnictwo i kopalnictwo";2;539064;538843;21;200;;;;
10001;"20-100";"20-100-01";"20";2;"Górnictwo węgla kamiennego";3;438843;438843;;;;;;
10002;"20-100";"20-100-02";"20";2;"Górnictwo węgla brunatnego";4;1;;1;;;;;
10005;"20-100";"20-100-05";"20";2;"Produkcja soli";5;86000;86000;;;;;;
10095;"20-100";"20-100-95";"20";2;"Pozostała działalność";6;14220;14000;20;200;;;;
150;"20";"20-150";"20";1;"Przetwórstwo przemysłowe";7;482824;122649;1326;77201;22016;;;259632
15004;"20-150";"20-150-04";"20";2;"Zadania w zakresie bezpiecznego wykorzystania energii atomowej";8;25096;;1326;23770;;;;
15006;"20-150";"20-150-06";"20";2;"Hutnictwo";9;250;;;250;;;;
15011;"20-150";"20-150-11";"20";2;"Rozwój przedsiębiorczości";10;6844;5104;;1180;;;;560
15012;"20-150";"20-150-12";"20";2;"Polska Agencja Rozwoju Przedsiębiorczości";11;259881;66552;;;3668;;;189661
15014;"20-150";"20-150-14";"20";2;"Wsparcie finansowe inwestycji";12;64891;46543;;;18348;;;
15095;"20-150";"20-150-95";"20";2;"Pozostała działalność";13;125862;4450;;52001;;;;69411
500;"20";"20-500";"20";1;"Handel";14;160133;124841;6300;11580;150;;;17262
