"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.04.04.00-04-009/08-05";"Wdrożenie innowacyjnej technologii produkcji płyt warstwowych z rdzeniem z poliuretanu";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat inowrocławski";"Inowrocław";"12,309,800.00";"11,603,500.00";"8,122,450.00";"6,904,082.50";"""Włozamot Panel"" Spółka z ograniczoną odpowiedzialnością";"8882181231";"00-189";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/09/16"
"POIG.04.04.00-04-010/08-11";"Utworzenie centrum kompleksowej obróbki laserowej metali-wdrożenie technologii spawania laserowego";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Toruń";"M. Toruń";"14,085,455.10";"11,401,061.07";"7,947,778.15";"6,755,611.43";"LASERSTAR sp. z o.o. sp.k";"8792505256";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka komandytowa - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-04-010/08-04";"Nie";"2008/12/30";"2010/12/09"
"POIG.04.04.00-04-011/08-07";"Wdrożenie zintegrowanego procesu produkcji pomp wirowych i tłoczni ścieków.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Grudziądz";"M. Grudziądz";"10,474,200.00";"9,381,000.00";"4,690,500.00";"3,986,925.00";"Hydro-Vacuum Spółka Akcyjna";"8760203813";"86-303";"Grudziądz";"Kujawsko-pomorskie";"Powiat m. Grudziądz";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/07/07"
"POIG.04.04.00-04-012/08-07";"Wprowadzenie nowych produktów do oferty firmy Zelan";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat nakielski";"Nakło nad Notecią";"12,725,000.00";"10,350,200.00";"6,208,590.00";"5,277,301.50";"Zieliński Antoni Przedsiębiorstwo Produkcyjno Handlowe ZELAN Zakład Pracy Chronionej";"5580002572";"89-100";"Nakło Nad Notecią";"Kujawsko-pomorskie";"Powiat nakielski / Powiat świecki";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"osoba fizyczna prowadząca działalność gospodarczą - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/10/20"
"POIG.04.04.00-04-013/08-05";"Wdrożenie produkcji pakietów szklanych z wykorzystaniem innowacyjnej technologii nanoszenia powłok wielowarstwowych metodą magnetronową w firmie BOHAMET";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat bydgoski";"Białe Błota";"18,605,000.00";"15,000,000.00";"9,000,000.00";"7,650,000.00";"Zakład Produkcyjny ""BOHAMET"" Henryk Bogusz, Jarosław Halarewicz Spółka Jawna";"5540384828";"86-005";"Białe Błota, Ciele";"Kujawsko-pomorskie";"Powiat bydgoski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka jawna - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/07/30"
"POIG.04.04.00-04-016/08-05";"Wdrożenie innowacyjnej technologii produkcji oxybiodegradowalnego regranulatu oraz oxybiodegradowalnych zdobionych pojemników do celów spożywczych i technicznych w firmie CHEKO";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Włocławek";"M. Włocławek";"16,534,660.00";"14,250,191.90";"8,550,115.14";"7,267,597.87";"Zakłady Wytwórcze CHEKO Spółka z ograniczoną odpowiedzialnością";"8880401065";"87-800";"Włocławek";"Kujawsko-pomorskie";"Powiat m. Włocławek";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/10/14"
"POIG.04.04.00-04-018/08-04";"Budowa nowego zakładu drukarni w celu dywersyfikacji produkcji.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Toruń";"M. Toruń";"75,570,000.00";"75,570,000.00";"41,992,676.00";"35,693,774.60";"Toruńskie Zakłady Graficzne ""Zapolex"" Spółka z ograniczoną odpowiedzialnością";"8791981227";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/01/03"
"POIG.04.04.00-04-019/08-08";"Poprawa konkurencyjności firmy poprzez zakup innowacyjnych technologii poligraficznych wykonywania opraw łączonych klejem oraz technologii wykonywania druków luźnych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Toruń";"M. Toruń";"15,320,000.00";"15,320,000.00";"8,936,000.00";"7,595,600.00";"Toruńskie Zakłady Graficzne ""Zapolex"" Spółka z ograniczoną odpowiedzialnością";"8791981227";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-04-019/08-11";"Tak";"2008/12/30";"2011/02/11"
"POIG.04.04.00-04-023/08-08";"Innowacyjne linie technologiczne do produkcji pozycjonowanych zbrojeń budowlanych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Toruń";"M. Toruń";"33,040,000.00";"27,000,000.00";"16,200,000.00";"13,770,000.00";"Nowakowski Wiesław Daniel STALER - TOWARZYSTWO GOSPODARCZE";"8740002069";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"osoba fizyczna prowadząca działalność gospodarczą - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/05/09"
"POIG.04.04.00-04-025/08-04";"Dywersyfikacja produkcji Intemo poprzez wprowadzenie nowych produktów.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"M. Bydgoszcz";"5,027,121.13";"4,222,746.50";"2,533,647.90";"2,153,600.72";"Intemo S.A.";"9531035496";"88-230";"Piotrków Kujawski";"Kujawsko-pomorskie";"Powiat radziejowski / Powiat włocławski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/08/17"
