"id";"Typ";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"33-20";"Projekt";"Infrastruktura e-Usług Resortu Finansów";"POIG.07.01.00-00-022/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"210,000,000.00";"210,000,000.00";"210,000,000.00";"178,500,000.00";"Ministerstwo Finansów";"5260250274";"00-916";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-022/09-08-K01";"Nie";"2009/09/25";"2010/12/17"
"33-21";"Projekt";"e-grant broker. finanse dla projektów";"POIG.08.01.00-02-134/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.01.00";"";"83,620.00";"77,680.00";"66,028.00";"56,123.80";"ACQUITEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"8982123612";"51-616";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.08.01.00-02-134/08-02";"Tak";"2009/09/11";"2010/02/02"
"33-22";"Projekt";"Wsparcie zarządzania IP i IP II";"POIG.09.01.00-00-001/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"7,809,800.33";"7,809,800.33";"7,809,800.33";"6,638,330.28";"Ministerstwo Nauki i Szkolnictwa Wyższego";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-001/08-04";"Tak";"2009/06/10";"2009/07/08"
"33-23";"Projekt";"Wsparcie zarządzania - POT - 2009";"POIG.09.01.00-00-001/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"1,025,500.00";"1,025,500.00";"1,025,500.00";"871,675.00";"Polska Organizacja Turystyczna";"5252150196";"00-613";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.09.01.00-00-001/09-03";"Tak";"2009/10/06";"2009/10/09"
"33-24";"Projekt";"Wsparcie procesów zarządzania Instytucji Pośredniczącej (Ministerstwa Spraw Wewnętrznych i Administracji) oraz Instytucji Wdrażających (Polskiej Agencji Rozwoju Przedsiębiorczości oraz Władzy Wdrażającej Programy Europejskie) – poprzez finansowanie kosztów realizacji 7. i 8. osi priorytetowej PO IG w 2008 roku";"POIG.09.01.00-00-002/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"6,346,673.59";"6,346,673.59";"6,346,673.59";"5,394,672.55";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-002/08-03";"Tak";"2009/06/05";"2009/06/25"
"33-25";"Projekt";"Finansowanie kosztów zatrudnienia i szkoleń pracowników BGK oraz kosztów wdrażąnia działań realizowanych przez BGK w ramach działania 4.3 Kredyt technologiczny PO IG w 2009 roku. ";"POIG.09.01.00-00-002/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"1,893,799.93";"1,893,799.93";"1,893,799.93";"1,609,729.94";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-002/09-02";"Tak";"2009/11/10";"2009/11/12"
"33-26";"Projekt";"Wsparcie zarządzania Instytucji Wdrażających poprzez finansowanie kosztów zatrudnienia pracowników, a także finansowanie szkoleń pracowników Instytucji Pośredniczącej oraz Instytucji Wdrażających PO IG w 2007 i 2008 roków i kosztów posiedzeń komisji konkursowych.";"POIG.09.01.00-00-003/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"13,100,444.05";"12,776,890.92";"12,776,890.92";"10,860,357.28";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-003/08-04";"Tak";"2009/07/10";"2009/07/10"
"33-27";"Projekt";"Wsparcie zarządzania IZ w ramach PO IG";"POIG.09.01.00-00-004/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"758,164.00";"758,164.00";"758,164.00";"644,439.40";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-004/08-06";"Tak";"2009/06/19";"2009/06/19"
"33-28";"Projekt";"Wsparcie zarządzania IP i IP2 w 2009 r.";"POIG.09.01.00-00-005/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"12,230,636.34";"12,230,636.34";"12,230,636.34";"10,396,040.88";"Minister Nauki i Szkolnictwa Wyższego";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-005/08-04-K01";"Tak";"2009/11/19";"2009/11/19"
"33-29";"Projekt";"Wsparcie procesów zarządzania Instytucji Pośredniczącej (MSWiA) oraz Insytucji Wdrażających (PARP oraz WWPE) - poprzez finansowanie kosztów realizacji 7 i 8 osi priorytetowej PO IG w 2009 roku";"POIG.09.01.00-00-006/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"22,726,991.45";"22,693,991.45";"22,693,991.45";"19,289,892.73";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-006/08-04-K02";"Tak";"2009/10/07";"2009/10/16"
"33-30";"Projekt";"Wsparcie zarządzania Instytucji Wdrażających poprzez finansowanie kosztów zatrudnienia pracowników, a także finansowanie szkoleń pracowników Instytucji Pośredniczącej i Instytucji Wdrażających oraz innych kosztów związanych z wdrażaniem PO IG.";"POIG.09.01.00-00-007/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"30,158,850.40";"30,100,750.60";"30,100,750.60";"25,585,638.01";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-007/08-08-K04";"Tak";"2009/11/23";"2009/11/26"
"33-31";"Projekt";"Wsparcie zarządzania IZ POIG w 2009 roku";"POIG.09.01.00-00-008/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.01.00";"";"2,052,422.00";"2,052,422.00";"2,052,422.00";"1,744,558.70";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.01.00-00-008/08-07";"Tak";"2009/10/22";"2009/10/22"
"33-32";"Projekt";"Wyposażenie instytucji-POT-2009";"POIG.09.02.00-00-001/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"127,500.00";"127,500.00";"127,500.00";"108,375.00";"Polska Organizacja Turystyczna";"5252150196";"00-613";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.09.02.00-00-001/09-03";"Tak";"2009/10/06";"2009/10/09"
